"";"parsed";"ebird"
"3936";"Oedistoma iliolophus";"Oedistoma iliolophus"
"3937";"Oreocharis arfaki";"Oreocharis arfaki"
"3938";"Paramythia montium";"Paramythia montium"
"3939";"Passer ammodendri";"Passer ammodendri"
"3940";"Passer pyrrhonotus";"Passer pyrrhonotus"
"3941";"Passer castanopterus";"Passer castanopterus"
"3942";"Passer cinnamomeus";"Passer cinnamomeus"
"3943";"Passer flaveolus";"Passer flaveolus"
"3944";"Passer iagoensis";"Passer iagoensis"
"3945";"Passer rufocinctus";"Passer rufocinctus"
"3946";"Passer melanurus";"Passer melanurus"
"3947";"Passer gongonensis";"Passer gongonensis"
"3948";"Passer suahelicus";"Passer suahelicus"
"3949";"Passer diffusus";"Passer diffusus"
"3950";"Passer euchlorus";"Passer euchlorus"
"3951";"Gymnoris pyrgita";"Gymnoris pyrgita"
"3952";"Gymnoris superciliaris";"Gymnoris superciliaris"
"3953";"Gymnoris dentata";"Gymnoris dentata"
"3954";"Pyrgilauda davidiana";NA
"3955";"Pyrgilauda blanfordi";NA
"3956";"Pyrgilauda theresae";NA
"3957";"Dendronanthus indicus";"Dendronanthus indicus"
"3958";"Motacilla maderaspatensis";"Motacilla maderaspatensis"
"3959";"Motacilla capensis";"Motacilla capensis"
"3960";"Motacilla flaviventris";"Motacilla flaviventris"
"3961";"Tmetothylacus tenellus";"Tmetothylacus tenellus"
"3962";"Macronyx croceus";"Macronyx croceus"
"3963";"Macronyx fuelleborni";"Macronyx fuelleborni"
"3964";"Macronyx capensis";"Macronyx capensis"
"3965";"Macronyx flavicollis";"Macronyx flavicollis"
"3966";"Macronyx ameliae";"Macronyx ameliae"
"3967";"Macronyx aurantiigula";"Macronyx aurantiigula"
"3968";"Macronyx sharpei";NA
"3969";"Anthus rufulus";"Anthus rufulus"
"3970";"Anthus melindae";"Anthus melindae"
"3971";"Anthus godlewskii";"Anthus godlewskii"
"3972";"Anthus sokokensis";"Anthus sokokensis"
"3973";"Anthus nilghiriensis";"Anthus nilghiriensis"
"3974";"Anthus correndera";"Anthus correndera"
"3975";"Anthus furcatus";"Anthus furcatus"
"3976";"Anthus bogotensis";"Anthus bogotensis"
"3977";"Anthus chacoensis";"Anthus chacoensis"
"3978";"Anthus gutturalis";"Anthus gutturalis"
"3979";"Prunella rubeculoides";"Prunella rubeculoides"
"3980";"Prunella strophiata";"Prunella strophiata"
"3981";"Prunella koslowi";"Prunella koslowi"
"3982";"Prunella rubida";"Prunella rubida"
"3983";"Prunella immaculata";"Prunella immaculata"
"3984";"Bubalornis niger";"Bubalornis niger"
"3985";"Sporopipes squamifrons";"Sporopipes squamifrons"
"3986";"Plocepasser mahali";"Plocepasser mahali"
"3987";"Plocepasser superciliosus";"Plocepasser superciliosus"
"3988";"Plocepasser donaldsoni";"Plocepasser donaldsoni"
"3989";"Histurgops ruficauda";"Histurgops ruficauda"
"3990";"Pseudonigrita arnaudi";"Pseudonigrita arnaudi"
"3991";"Philetairus socius";"Philetairus socius"
"3992";"Ploceus baglafecht";"Ploceus baglafecht"
"3993";"Ploceus bertrandi";"Ploceus bertrandi"
"3994";"Ploceus ocularis";"Ploceus ocularis"
"3995";"Ploceus alienus";"Ploceus alienus"
"3996";"Ploceus temporalis";"Ploceus temporalis"
"3997";"Ploceus capensis";"Ploceus capensis"
"3998";"Ploceus subaureus";"Ploceus subaureus"
"3999";"Ploceus castaneiceps";"Ploceus castaneiceps"
"4000";"Ploceus xanthopterus";"Ploceus xanthopterus"
"4001";"Ploceus castanops";"Ploceus castanops"
"4002";"Ploceus heuglini";"Ploceus heuglini"
"4003";"Ploceus taeniopterus";"Ploceus taeniopterus"
"4004";"Ploceus katangae";"Ploceus katangae"
"4005";"Ploceus reichardi";"Ploceus reichardi"
"4006";"Ploceus spekei";"Ploceus spekei"
"4007";"Ploceus nigerrimus";"Ploceus nigerrimus"
"4008";"Ploceus weynsi";"Ploceus weynsi"
"4009";"Ploceus dichrocephalus";"Ploceus dichrocephalus"
"4010";"Ploceus badius";"Ploceus badius"
"4011";"Ploceus albinucha";"Ploceus albinucha"
"4012";"Ploceus sakalava";"Ploceus sakalava"
"4013";"Ploceus manyar";"Ploceus manyar"
"4014";"Ploceus philippinus";"Ploceus philippinus"
"4015";"Ploceus dorsomaculatus";"Ploceus dorsomaculatus"
"4016";"Ploceus olivaceiceps";"Ploceus olivaceiceps"
"4017";"Ploceus insignis";"Ploceus insignis"
"4018";"Ploceus angolensis";"Ploceus angolensis"
"4019";"Ploceus superciliosus";NA
"4020";"Malimbus racheliae";"Malimbus racheliae"
"4021";"Malimbus scutatus";"Malimbus scutatus"
"4022";"Malimbus ibadanensis";"Malimbus ibadanensis"
"4023";"Malimbus erythrogaster";"Malimbus erythrogaster"
"4024";"Malimbus malimbicus";"Malimbus malimbicus"
"4025";"Anaplectes rubriceps";"Anaplectes rubriceps"
"4026";"Quelea erythrops";"Quelea erythrops"
"4027";"Foudia eminentissima";"Foudia eminentissima"
"4028";"Foudia rubra";"Foudia rubra"
"4029";"Foudia flavicans";"Foudia flavicans"
"4030";"Euplectes diadematus";"Euplectes diadematus"
"4031";"Euplectes gierowii";"Euplectes gierowii"
"4032";"Euplectes hordeaceus";"Euplectes hordeaceus"
"4033";"Euplectes nigroventris";"Euplectes nigroventris"
"4034";"Euplectes capensis";"Euplectes capensis"
"4035";"Euplectes macroura";"Euplectes macroura"
"4036";"Euplectes albonotatus";"Euplectes albonotatus"
"4037";"Euplectes ardens";"Euplectes ardens"
"4038";"Euplectes psammacromius";"Euplectes psammacromius"
"4039";"Euplectes progne";"Euplectes progne"
"4040";"Euplectes jacksoni";"Euplectes jacksoni"
"4041";"Nesocharis shelleyi";"Nesocharis shelleyi"
"4042";"Nesocharis ansorgei";"Nesocharis ansorgei"
"4043";"Nesocharis capistrata";NA
"4044";"Pytilia phoenicoptera";"Pytilia phoenicoptera"
"4045";"Pytilia hypogrammica";"Pytilia hypogrammica"
"4046";"Cryptospiza reichenovii";"Cryptospiza reichenovii"
"4047";"Cryptospiza jacksoni";"Cryptospiza jacksoni"
"4048";"Pyrenestes minor";"Pyrenestes minor"
"4049";"Spermophaga ruficapilla";"Spermophaga ruficapilla"
"4050";"Clytospiza monteiri";"Clytospiza monteiri"
"4051";"Hypargos niveoguttatus";"Hypargos niveoguttatus"
"4052";"Euschistospiza cinereovinacea";"Euschistospiza cinereovinacea"
"4053";"Lagonosticta rufopicta";"Lagonosticta rufopicta"
"4054";"Lagonosticta nitidula";"Lagonosticta nitidula"
"4055";"Lagonosticta rara";"Lagonosticta rara"
"4056";"Lagonosticta rhodopareia";"Lagonosticta rhodopareia"
