"";"parsed";"iucn_itis"
"6123";"Procolobus rufomitratus";"Piliocolobus rufomitratus"
"6124";"Procolobus rufomitratus";"Piliocolobus parmentieri"
"6125";"Procolobus rufomitratus";"Piliocolobus langi"
"6126";"Procolobus rufomitratus";"Piliocolobus tephrosceles"
"6127";"Procolobus pennantii";"Piliocolobus pennantii"
"6128";"Procolobus pennantii";"Piliocolobus epieni"
"6129";"Procolobus pennantii";"Piliocolobus tholloni"
"6130";"Procolobus pennantii";"Piliocolobus tephrosceles"
"6131";"Procolobus pennantii";"Piliocolobus bouvieri"
"6132";"Procolobus preussi";"Piliocolobus preussi"
"6133";"Procolobus badius";"Piliocolobus gordonorum"
"6134";"Procolobus badius";"Piliocolobus preussi"
"6135";"Procolobus badius";"Piliocolobus pennantii"
"6136";"Procolobus badius";"Piliocolobus epieni"
"6137";"Procolobus badius";"Piliocolobus semlikiensis"
"6138";"Procolobus badius";"Piliocolobus foai"
"6139";"Procolobus badius";"Piliocolobus lulindicus"
"6140";"Procolobus badius";"Piliocolobus tholloni"
"6141";"Procolobus badius";"Piliocolobus oustaleti"
"6142";"Procolobus badius";"Piliocolobus parmentieri"
"6143";"Procolobus badius";"Piliocolobus langi"
"6144";"Procolobus badius";"Piliocolobus waldroni"
"6145";"Procolobus badius";"Piliocolobus kirkii"
"6146";"Procolobus badius";"Piliocolobus tephrosceles"
"6147";"Procolobus badius";"Piliocolobus bouvieri"
"6148";"Cercopithecus dryas";"Chlorocebus dryas"
"6149";"Cercopithecus solatus";"Allochrocebus solatus"
"6150";"Cercopithecus lhoesti";"Allochrocebus lhoesti"
"6151";"Cercopithecus preussi";"Allochrocebus preussi"
"6152";"Urogale everetti";"Tupaia everetti"
"6153";"Tupaia moellendorffi";"Tupaia palawanensis"
"6154";"Ochotona pallasi";"Ochotona argentata"
"6155";"Lepus microtis";"Lepus victoriae"
"6156";"Tamias sibiricus";"Eutamias sibiricus"
"6157";"Tamias speciosus";"Neotamias speciosus"
"6158";"Tamias minimus";"Neotamias minimus"
"6159";"Tamias quadrimaculatus";"Neotamias quadrimaculatus"
"6160";"Tamias ruficaudus";"Neotamias ruficaudus"
"6161";"Tamias durangae";"Neotamias durangae"
"6162";"Tamias canipes";"Neotamias canipes"
"6163";"Tamias rufus";"Neotamias rufus"
"6164";"Tamias umbrinus";"Neotamias umbrinus"
"6165";"Tamias quadrivittatus";"Neotamias quadrivittatus"
"6166";"Tamias palmeri";"Neotamias palmeri"
"6167";"Tamias dorsalis";"Neotamias dorsalis"
"6168";"Tamias cinereicollis";"Neotamias cinereicollis"
"6169";"Tamias bulleri";"Neotamias bulleri"
"6170";"Tamias obscurus";"Neotamias obscurus"
"6171";"Tamias merriami";"Neotamias merriami"
"6172";"Tamias siskiyou";"Neotamias siskiyou"
"6173";"Tamias sonomae";"Neotamias sonomae"
"6174";"Tamias senex";"Neotamias senex"
"6175";"Tamias townsendii";"Neotamias townsendii"
"6176";"Tamias ochrogenys";"Neotamias ochrogenys"
"6177";"Tamias amoenus";"Neotamias amoenus"
"6178";"Tamias panamintinus";"Neotamias panamintinus"
"6179";"Tamias alpinus";"Neotamias alpinus"
"6180";"Hylopetes lepidus";"Hylopetes sagitta"
"6181";"Petinomys sagitta";"Hylopetes sagitta"
"6182";"Petaurista caniceps";"Petaurista elegans"
"6183";"Fukomys mechowi";"Fukomys mechowii"
"6184";"Dasyprocta cristata";"Dasyprocta leporina"
"6185";"Lagidium peruanum";"Lagidium viscacia"
"6186";"Mesocapromys melanurus";"Mysateles melanurus"
"6187";"Trinomys myosuros";"Trinomys setosus"
"6188";"Proechimys urichi";"Proechimys trinitatis"
"6189";"Proechimys magdalenae";"Proechimys chrysaeolus"
"6190";"Proechimys poliopus";"Proechimys guairae"
"6191";"Proechimys trinitatus";"Proechimys trinitatis"
"6192";"Clyomys bishopi";"Clyomys laticeps"
"6193";"Thrichomys fosteri";"Thrichomys pachyurus"
"6194";"Ctenomys budini";"Ctenomys frater"
"6195";"Ctenomys sylvanus";"Ctenomys frater"
"6196";"Pipanacoctomys aureus";"Tympanoctomys aureus"
"6197";"Orthogeomys lanius";"Heterogeomys lanius"
"6198";"Orthogeomys cherriei";"Heterogeomys cherriei"
"6199";"Orthogeomys dariensis";"Heterogeomys dariensis"
"6200";"Liomys salvini";"Heteromys salvini"
"6201";"Liomys adspersus";"Heteromys adspersus"
"6202";"Liomys irroratus";"Heteromys irroratus"
"6203";"Liomys spectabilis";"Heteromys spectabilis"
"6204";"Liomys pictus";"Heteromys pictus"
"6205";"Perognathus alticolus";"Perognathus alticola"
"6206";"Allactaga vinogradovi";"Scarturus vinogradovi"
"6207";"Allactaga elater";"Scarturus elater"
"6208";"Allactaga toussi";"Scarturus toussi"
"6209";"Allactaga williamsi";"Scarturus williamsi"
"6210";"Allactaga euphratica";"Scarturus euphratica"
"6211";"Spalax ehrenbergi";"Nannospalax ehrenbergi"
"6212";"Spalax nehringi";"Nannospalax xanthodon"
"6213";"Spalax leucodon";"Nannospalax leucodon"
"6214";"Gerbillus mackillingini";"Gerbillus mackilligini"
"6215";"Coccymys albidens";"Brassomys albidens"
"6216";"Aethomys granti";"Micaelamys granti"
"6217";"Aethomys namaquensis";"Micaelamys namaquensis"
"6218";"Neotoma martinensis";"Neotoma bryanti"
"6219";"Neotoma anthonyi";"Neotoma bryanti"
"6220";"Neotoma bunkeri";"Neotoma bryanti"
"6221";"Sigmodon planifrons";"Sigmodon alleni"
"6222";"Kunsia fronto";"Gyldenstolpia fronto"
"6223";"Akodon aliquantulus";"Akodon caenosus"
"6224";"Brucepattersonius albinasus";"Brucepattersonius griserufescens"
"6225";"Akodon leucolimnaeus";"Akodon spegazzinii"
"6226";"Oxymycterus akodontius";"Oxymycterus paramensis"
"6227";"Juscelinomys guaporensis";"Juscelinomys huanchacae"
"6228";"Akodon neocenus";"Akodon dolores"
