"";"parsed";"iucn_itis"
"3119";"Maxomys musschenbroekii";"Maxomys musschenbroekii"
"3120";"Maxomys inas";"Maxomys inas"
"3121";"Maxomys alticola";"Maxomys alticola"
"3122";"Maxomys baeodon";"Maxomys baeodon"
"3123";"Maxomys bartelsii";"Maxomys bartelsii"
"3124";"Dephomys defua";"Dephomys defua"
"3125";"Zyzomys pedunculatus";"Zyzomys pedunculatus"
"3126";"Zyzomys argurus";"Zyzomys argurus"
"3127";"Zyzomys maini";"Zyzomys maini"
"3128";"Zyzomys palatalis";"Zyzomys palatalis"
"3129";"Zyzomys woodwardi";"Zyzomys woodwardi"
"3130";"Leporillus apicalis";"Leporillus apicalis"
"3131";"Leporillus conditor";"Leporillus conditor"
"3132";"Aethomys silindensis";"Aethomys silindensis"
"3133";"Aethomys stannarius";"Aethomys stannarius"
"3134";"Macruromys elegans";"Macruromys elegans"
"3135";"Macruromys major";"Macruromys major"
"3136";"Margaretamys parvus";"Margaretamys parvus"
"3137";"Margaretamys beccarii";"Margaretamys beccarii"
"3138";"Margaretamys elegans";"Margaretamys elegans"
"3139";"Microhydromys richardsoni";"Microhydromys richardsoni"
"3140";"Pseudohydromys musseri";"Pseudohydromys musseri"
"3141";"Leggadina lakedownensis";"Leggadina lakedownensis"
"3142";"Tarsomys apoensis";"Tarsomys apoensis"
"3143";"Tarsomys echinatus";"Tarsomys echinatus"
"3144";"Protochromys fellowsi";"Protochromys fellowsi"
"3145";"Diplothrix legata";"Diplothrix legata"
"3146";"Mylomys rex";"Mylomys rex"
"3147";"Parahydromys asper";"Parahydromys asper"
"3148";"Arvicanthis ansorgei";"Arvicanthis ansorgei"
"3149";"Arvicanthis rufinus";"Arvicanthis rufinus"
"3150";"Arvicanthis nairobae";"Arvicanthis nairobae"
"3151";"Arvicanthis abyssinicus";"Arvicanthis abyssinicus"
"3152";"Gerbillurus tytonis";"Gerbillurus tytonis"
"3153";"Gerbillurus setzeri";"Gerbillurus setzeri"
"3154";"Millardia kondana";"Millardia kondana"
"3155";"Millardia kathleenae";"Millardia kathleenae"
"3156";"Carpomys phaeurus";"Carpomys phaeurus"
"3157";"Gerbillus watersi";"Gerbillus watersi"
"3158";"Gerbillus tarabuli";"Gerbillus tarabuli"
"3159";"Gerbillus pyramidum";"Gerbillus pyramidum"
"3160";"Gerbillus somalicus";"Gerbillus somalicus"
"3161";"Gerbillus stigmonyx";"Gerbillus stigmonyx"
"3162";"Gerbillus poecilops";"Gerbillus poecilops"
"3163";"Gerbillus principulus";"Gerbillus principulus"
"3164";"Gerbillus pulvinatus";"Gerbillus pulvinatus"
"3165";"Gerbillus pusillus";"Gerbillus pusillus"
"3166";"Gerbillus latastei";"Gerbillus latastei"
"3167";"Gerbillus juliani";"Gerbillus juliani"
"3168";"Gerbillus lowei";"Gerbillus lowei"
"3169";"Gerbillus gleadowi";"Gerbillus gleadowi"
"3170";"Gerbillus famulus";"Gerbillus famulus"
"3171";"Gerbillus burtoni";"Gerbillus burtoni"
"3172";"Gerbillus bottai";"Gerbillus bottai"
"3173";"Gerbillus brockmani";"Gerbillus brockmani"
"3174";"Gerbillus andersoni";"Gerbillus andersoni"
"3175";"Gerbillus amoenus";"Gerbillus amoenus"
"3176";"Gerbillus agag";"Gerbillus agag"
"3177";"Gerbillus rosalinda";"Gerbillus rosalinda"
"3178";"Gerbillus nancillus";"Gerbillus nancillus"
"3179";"Gerbillus muriculus";"Gerbillus muriculus"
"3180";"Gerbillus campestris";"Gerbillus campestris"
"3181";"Gerbillus acticola";"Gerbillus acticola"
"3182";"Gerbillus rupicola";"Gerbillus rupicola"
"3183";"Tateomys rhinogradoides";"Tateomys rhinogradoides"
"3184";"Tateomys macrocercus";"Tateomys macrocercus"
"3185";"Echiothrix centrosa";"Echiothrix centrosa"
"3186";"Echiothrix leucura";"Echiothrix leucura"
"3187";"Dacnomys millardi";"Dacnomys millardi"
"3188";"Hydrodamalis gigas";"Hydrodamalis gigas"
"3189";"Trichechus inunguis";"Trichechus inunguis"
"3190";"Tayassu pecari";"Tayassu pecari"
"3191";"Porcula salvania";"Porcula salvania"
"3192";"Sus verrucosus";"Sus verrucosus"
"3193";"Sus cebifrons";"Sus cebifrons"
"3194";"Sus philippensis";"Sus philippensis"
"3195";"Sus ahoenobarbus";"Sus ahoenobarbus"
"3196";"Sus bucculentus";"Sus bucculentus"
"3197";"Potamochoerus larvatus";"Potamochoerus larvatus"
"3198";"Sus celebensis";"Sus celebensis"
"3199";"Sus scrofa";"Sus scrofa"
"3200";"Sus oliveri";"Sus oliveri"
"3201";"Babyrousa celebensis";"Babyrousa celebensis"
"3202";"Babyrousa togeanensis";"Babyrousa togeanensis"
"3203";"Cephalorhynchus hectori";"Cephalorhynchus hectori"
"3204";"Bison bonasus";"Bison bonasus"
"3205";"Equus africanus";"Equus africanus"
"3206";"Equus kiang";"Equus kiang"
"3207";"Equus quagga";"Equus quagga"
"3208";"Tapirus bairdii";"Tapirus bairdii"
"3209";"Tapirus indicus";"Tapirus indicus"
"3210";"Tapirus pinchaque";"Tapirus pinchaque"
"3211";"Tapirus terrestris";"Tapirus terrestris"
"3212";"Brachylagus idahoensis";"Brachylagus idahoensis"
"3213";"Bunolagus monticularis";"Bunolagus monticularis"
"3214";"Caprolagus hispidus";"Caprolagus hispidus"
"3215";"Lepus flavigularis";"Lepus flavigularis"
"3216";"Lepus timidus";"Lepus timidus"
"3217";"Lepus callotis";"Lepus callotis"
"3218";"Lepus hainanus";"Lepus hainanus"
"3219";"Lepus insularis";"Lepus insularis"
"3220";"Lepus othus";"Lepus othus"
"3221";"Lepus fagani";"Lepus fagani"
"3222";"Nesolagus netscheri";"Nesolagus netscheri"
"3223";"Ochotona koslowi";"Ochotona koslowi"
"3224";"Ochotona forresti";"Ochotona forresti"
"3225";"Ochotona iliensis";"Ochotona iliensis"
"3226";"Ochotona nubrica";"Ochotona nubrica"
"3227";"Ochotona pusilla";"Ochotona pusilla"
"3228";"Ochotona thomasi";"Ochotona thomasi"
"3229";"Pentalagus furnessi";"Pentalagus furnessi"
"3230";"Romerolagus diazi";"Romerolagus diazi"
"3231";"Sylvilagus graysoni";"Sylvilagus graysoni"
"3232";"Sylvilagus insonus";"Sylvilagus insonus"
"3233";"Sylvilagus dicei";"Sylvilagus dicei"
"3234";"Sylvilagus cunicularius";"Sylvilagus cunicularius"
"3235";"Sylvilagus transitionalis";"Sylvilagus transitionalis"
"3236";"Ochotona hoffmanni";"Ochotona hoffmanni"
"3237";"Nesolagus timminsi";"Nesolagus timminsi"
"3238";"Ochotona alpina";"Ochotona alpina"
"3239";"Ochotona cansus";"Ochotona cansus"
"3240";"Ochotona collaris";"Ochotona collaris"
"3241";"Ochotona dauurica";"Ochotona dauurica"
"3242";"Ochotona erythrotis";"Ochotona erythrotis"
"3243";"Ochotona gloveri";"Ochotona gloveri"
"3244";"Ochotona hyperborea";"Ochotona hyperborea"
"3245";"Ochotona ladacensis";"Ochotona ladacensis"
"3246";"Ochotona macrotis";"Ochotona macrotis"
"3247";"Ochotona pallasii";"Ochotona pallasii"
"3248";"Ochotona princeps";"Ochotona princeps"
"3249";"Ochotona roylei";"Ochotona roylei"
"3250";"Ochotona rufescens";"Ochotona rufescens"
"3251";"Ochotona rutila";"Ochotona rutila"
"3252";"Ochotona thibetana";"Ochotona thibetana"
"3253";"Lepus alleni";"Lepus alleni"
"3254";"Lepus americanus";"Lepus americanus"
"3255";"Lepus arcticus";"Lepus arcticus"
"3256";"Lepus brachyurus";"Lepus brachyurus"
"3257";"Lepus californicus";"Lepus californicus"
"3258";"Lepus capensis";"Lepus capensis"
"3259";"Lepus comus";"Lepus comus"
"3260";"Lepus europaeus";"Lepus europaeus"
"3261";"Lepus mandshuricus";"Lepus mandshuricus"
"3262";"Lepus nigricollis";"Lepus nigricollis"
"3263";"Lepus oiostolus";"Lepus oiostolus"
"3264";"Lepus peguensis";"Lepus peguensis"
"3265";"Lepus saxatilis";"Lepus saxatilis"
"3266";"Lepus sinensis";"Lepus sinensis"
"3267";"Lepus starcki";"Lepus starcki"
"3268";"Lepus townsendii";"Lepus townsendii"
"3269";"Lepus habessinicus";"Lepus habessinicus"
"3270";"Poelagus marjorita";"Poelagus marjorita"
"3271";"Pronolagus crassicaudatus";"Pronolagus crassicaudatus"
"3272";"Pronolagus randensis";"Pronolagus randensis"
"3273";"Pronolagus rupestris";"Pronolagus rupestris"
"3274";"Sylvilagus aquaticus";"Sylvilagus aquaticus"
"3275";"Sylvilagus audubonii";"Sylvilagus audubonii"
"3276";"Sylvilagus brasiliensis";"Sylvilagus brasiliensis"
"3277";"Sylvilagus floridanus";"Sylvilagus floridanus"
"3278";"Sylvilagus nuttallii";"Sylvilagus nuttallii"
"3279";"Sylvilagus obscurus";"Sylvilagus obscurus"
"3280";"Sylvilagus bachmani";"Sylvilagus bachmani"
"3281";"Sylvilagus palustris";"Sylvilagus palustris"
"3282";"Lepus tibetanus";"Lepus tibetanus"
"3283";"Lepus tolai";"Lepus tolai"
"3284";"Sylvilagus varynaensis";"Sylvilagus varynaensis"
"3285";"Ochotona turuchanensis";"Ochotona turuchanensis"
"3286";"Lepus victoriae";"Lepus victoriae"
"3287";"Ochotona argentata";"Ochotona argentata"
"3288";"Pronolagus saundersiae";"Pronolagus saundersiae"
"3289";"Crocuta crocuta";"Crocuta crocuta"
"3290";"Hyaena hyaena";"Hyaena hyaena"
"3291";"Proteles cristata";"Proteles cristata"
"3292";"Bassaricyon gabbii";"Bassaricyon gabbii"
"3293";"Bdeogale jacksoni";"Bdeogale jacksoni"
"3294";"Chrotogale owstoni";"Chrotogale owstoni"
"3295";"Cryptoprocta ferox";"Cryptoprocta ferox"
"3296";"Cynogale bennettii";"Cynogale bennettii"
"3297";"Diplogale hosei";"Diplogale hosei"
"3298";"Fossa fossana";"Fossa fossana"
"3299";"Galidictis fasciata";"Galidictis fasciata"
"3300";"Galidictis grandidieri";"Galidictis grandidieri"
"3301";"Genetta abyssinica";"Genetta abyssinica"
"3302";"Genetta johnstoni";"Genetta johnstoni"
"3303";"Genetta cristata";"Genetta cristata"
"3304";"Gulo gulo";"Gulo gulo"
"3305";"Liberiictis kuhni";"Liberiictis kuhni"
"3306";"Macrogalidia musschenbroekii";"Macrogalidia musschenbroekii"
"3307";"Martes martes";"Martes martes"
"3308";"Melogale everetti";"Melogale everetti"
"3309";"Mungos gambianus";"Mungos gambianus"
"3310";"Mungotictis decemlineata";"Mungotictis decemlineata"
"3311";"Mustela lutreola";"Mustela lutreola"
"3312";"Mustela lutreolina";"Mustela lutreolina"
"3313";"Mustela nigripes";"Mustela nigripes"
"3314";"Mustela africana";"Mustela africana"
"3315";"Mustela felipei";"Mustela felipei"
"3316";"Mustela strigidorsa";"Mustela strigidorsa"
"3317";"Mydaus marchei";"Mydaus marchei"
"3318";"Nasuella olivacea";"Nasuella olivacea"
"3319";"Genetta piscivora";"Genetta piscivora"
"3320";"Paradoxurus jerdoni";"Paradoxurus jerdoni"
"3321";"Procyon pygmaeus";"Procyon pygmaeus"
"3322";"Salanoia concolor";"Salanoia concolor"
"3323";"Viverra civettina";"Viverra civettina"
"3324";"Martes foina";"Martes foina"
"3325";"Meles meles";"Meles meles"
"3326";"Mustela erminea";"Mustela erminea"
"3327";"Mustela eversmanii";"Mustela eversmanii"
"3328";"Vormela peregusna";"Vormela peregusna"
"3329";"Galidia elegans";"Galidia elegans"
"3330";"Eupleres major";"Eupleres major"
"3331";"Neovison macrodon";"Neovison macrodon"
"3332";"Eupleres goudotii";"Eupleres goudotii"
"3333";"Nandinia binotata";"Nandinia binotata"
"3334";"Atilax paludinosus";"Atilax paludinosus"
"3335";"Bdeogale nigripes";"Bdeogale nigripes"
"3336";"Crossarchus alexandri";"Crossarchus alexandri"
"3337";"Crossarchus ansorgei";"Crossarchus ansorgei"
"3338";"Crossarchus obscurus";"Crossarchus obscurus"
"3339";"Crossarchus platycephalus";"Crossarchus platycephalus"
"3340";"Cynictis penicillata";"Cynictis penicillata"
"3341";"Dologale dybowskii";"Dologale dybowskii"
"3342";"Herpestes flavescens";"Herpestes flavescens"
"3343";"Herpestes pulverulentus";"Herpestes pulverulentus"
"3344";"Herpestes sanguineus";"Herpestes sanguineus"
"3345";"Helogale hirtula";"Helogale hirtula"
"3346";"Helogale parvula";"Helogale parvula"
"3347";"Herpestes brachyurus";"Herpestes brachyurus"
"3348";"Herpestes edwardsii";"Herpestes edwardsii"
"3349";"Herpestes fuscus";"Herpestes fuscus"
"3350";"Herpestes ichneumon";"Herpestes ichneumon"
"3351";"Herpestes javanicus";"Herpestes javanicus"
"3352";"Herpestes naso";"Herpestes naso"
"3353";"Herpestes semitorquatus";"Herpestes semitorquatus"
"3354";"Herpestes smithii";"Herpestes smithii"
"3355";"Herpestes vitticollis";"Herpestes vitticollis"
"3356";"Ichneumia albicauda";"Ichneumia albicauda"
"3357";"Mungos mungo";"Mungos mungo"
"3358";"Paracynictis selousi";"Paracynictis selousi"
"3359";"Rhynchogale melleri";"Rhynchogale melleri"
"3360";"Suricata suricatta";"Suricata suricatta"
"3361";"Arctonyx collaris";"Arctonyx collaris"
"3362";"Melogale moschata";"Melogale moschata"
"3363";"Melogale personata";"Melogale personata"
"3364";"Mydaus javanensis";"Mydaus javanensis"
"3365";"Mellivora capensis";"Mellivora capensis"
"3366";"Conepatus chinga";"Conepatus chinga"
"3367";"Conepatus humboldtii";"Conepatus humboldtii"
"3368";"Conepatus leuconotus";"Conepatus leuconotus"
"3369";"Conepatus semistriatus";"Conepatus semistriatus"
"3370";"Mephitis macroura";"Mephitis macroura"
"3371";"Mephitis mephitis";"Mephitis mephitis"
"3372";"Spilogale putorius";"Spilogale putorius"
"3373";"Spilogale pygmaea";"Spilogale pygmaea"
"3374";"Galictis cuja";"Galictis cuja"
"3375";"Galictis vittata";"Galictis vittata"
"3376";"Eira barbara";"Eira barbara"
"3377";"Ictonyx libycus";"Ictonyx libycus"
"3378";"Ictonyx striatus";"Ictonyx striatus"
"3379";"Lyncodon patagonicus";"Lyncodon patagonicus"
"3380";"Martes americana";"Martes americana"
"3381";"Martes flavigula";"Martes flavigula"
"3382";"Martes melampus";"Martes melampus"
"3383";"Martes zibellina";"Martes zibellina"
"3384";"Mustela altaica";"Mustela altaica"
"3385";"Mustela frenata";"Mustela frenata"
"3386";"Mustela kathiah";"Mustela kathiah"
"3387";"Mustela itatsi";"Mustela itatsi"
"3388";"Mustela nudipes";"Mustela nudipes"
"3389";"Mustela putorius";"Mustela putorius"
"3390";"Mustela sibirica";"Mustela sibirica"
"3391";"Neovison vison";"Neovison vison"
"3392";"Poecilogale albinucha";"Poecilogale albinucha"
"3393";"Taxidea taxus";"Taxidea taxus"
"3394";"Bassaricyon alleni";"Bassaricyon alleni"
"3395";"Potos flavus";"Potos flavus"
"3396";"Bassariscus astutus";"Bassariscus astutus"
"3397";"Nasua narica";"Nasua narica"
"3398";"Nasua nasua";"Nasua nasua"
"3399";"Procyon cancrivorus";"Procyon cancrivorus"
"3400";"Procyon lotor";"Procyon lotor"
"3401";"Hemigalus derbyanus";"Hemigalus derbyanus"
"3402";"Arctictis binturong";"Arctictis binturong"
"3403";"Arctogalidia trivirgata";"Arctogalidia trivirgata"
"3404";"Paguma larvata";"Paguma larvata"
"3405";"Paradoxurus hermaphroditus";"Paradoxurus hermaphroditus"
"3406";"Paradoxurus zeylonensis";"Paradoxurus zeylonensis"
"3407";"Genetta angolensis";"Genetta angolensis"
"3408";"Melogale orientalis";"Melogale orientalis"
"3409";"Genetta genetta";"Genetta genetta"
"3410";"Genetta maculata";"Genetta maculata"
"3411";"Genetta thierryi";"Genetta thierryi"
"3412";"Genetta tigrina";"Genetta tigrina"
"3413";"Genetta victoriae";"Genetta victoriae"
"3414";"Poiana richardsonii";"Poiana richardsonii"
"3415";"Prionodon linsang";"Prionodon linsang"
"3416";"Prionodon pardicolor";"Prionodon pardicolor"
"3417";"Viverra megaspila";"Viverra megaspila"
"3418";"Viverra tangalunga";"Viverra tangalunga"
"3419";"Viverra zibetha";"Viverra zibetha"
"3420";"Viverricula indica";"Viverricula indica"
"3421";"Poiana leightoni";"Poiana leightoni"
"3422";"Genetta bourloni";"Genetta bourloni"
"3423";"Meles anakuma";"Meles anakuma"
"3424";"Meles leucurus";"Meles leucurus"
"3425";"Genetta poensis";"Genetta poensis"
"3426";"Genetta pardina";"Genetta pardina"
"3427";"Cryptoprocta spelea";"Cryptoprocta spelea"
"3428";"Spilogale angustifrons";"Spilogale angustifrons"
"3429";"Bdeogale omnivora";"Bdeogale omnivora"
"3430";"Spilogale gracilis";"Spilogale gracilis"
"3431";"Arctocephalus australis";"Arctocephalus australis"
"3432";"Arctocephalus galapagoensis";"Arctocephalus galapagoensis"
"3433";"Arctocephalus pusillus";"Arctocephalus pusillus"
"3434";"Arctocephalus townsendi";"Arctocephalus townsendi"
"3435";"Arctocephalus tropicalis";"Arctocephalus tropicalis"
"3436";"Callorhinus ursinus";"Callorhinus ursinus"
"3437";"Cystophora cristata";"Cystophora cristata"
"3438";"Erignathus barbatus";"Erignathus barbatus"
"3439";"Eumetopias jubatus";"Eumetopias jubatus"
"3440";"Halichoerus grypus";"Halichoerus grypus"
"3441";"Hydrurga leptonyx";"Hydrurga leptonyx"
"3442";"Leptonychotes weddellii";"Leptonychotes weddellii"
"3443";"Lobodon carcinophaga";"Lobodon carcinophaga"
"3444";"Mirounga angustirostris";"Mirounga angustirostris"
"3445";"Mirounga leonina";"Mirounga leonina"
"3446";"Neomonachus schauinslandi";"Neomonachus schauinslandi"
"3447";"Neomonachus tropicalis";"Neomonachus tropicalis"
"3448";"Neophoca cinerea";"Neophoca cinerea"
"3449";"Odobenus rosmarus";"Odobenus rosmarus"
"3450";"Ommatophoca rossii";"Ommatophoca rossii"
"3451";"Phoca vitulina";"Phoca vitulina"
"3452";"Phoca largha";"Phoca largha"
"3453";"Arctocephalus forsteri";"Arctocephalus forsteri"
"3454";"Zalophus californianus";"Zalophus californianus"
"3455";"Zalophus wollebaeki";"Zalophus wollebaeki"
"3456";"Pusa caspica";"Pusa caspica"
"3457";"Histriophoca fasciata";"Histriophoca fasciata"
"3458";"Pagophilus groenlandicus";"Pagophilus groenlandicus"
"3459";"Pusa hispida";"Pusa hispida"
"3460";"Pusa sibirica";"Pusa sibirica"
"3461";"Macroscelides proboscideus";"Macroscelides proboscideus"
"3462";"Macroscelides flavicaudatus";"Macroscelides flavicaudatus"
"3463";"Macroscelides micus";"Macroscelides micus"
"3464";"Ceratotherium simum";"Ceratotherium simum"
"3465";"Elephas maximus";"Elephas maximus"
"3466";"Apodemus avicennicus";"Apodemus avicennicus"
"3467";"Apomys aurorae";"Apomys aurorae"
"3468";"Apomys banahao";"Apomys banahao"
"3469";"Apomys brownorum";"Apomys brownorum"
"3470";"Apomys minganensis";"Apomys minganensis"
"3471";"Apomys sierrae";"Apomys sierrae"
"3472";"Apomys zambalensis";"Apomys zambalensis"
"3473";"Archboldomys maximus";"Archboldomys maximus"
"3474";"Crocidura phanluongi";"Crocidura phanluongi"
"3475";"Crocidura phuquocensis";"Crocidura phuquocensis"
"3476";"Crocidura sokolovi";"Crocidura sokolovi"
"3477";"Crocidura zaitsevi";"Crocidura zaitsevi"
"3478";"Cryptotis aroensis";"Cryptotis aroensis"
"3479";"Myosorex bururiensis";"Myosorex bururiensis"
"3480";"Myosorex gnoskei";"Myosorex gnoskei"
"3481";"Suncus hututsi";"Suncus hututsi"
"3482";"Surdisorex schlitteri";"Surdisorex schlitteri"
"3483";"Sylvisorex akaibei";"Sylvisorex akaibei"
"3484";"Sylvisorex silvanorum";"Sylvisorex silvanorum"
"3485";"Euroscaptor subanura";"Euroscaptor subanura"
"3486";"Grammomys selousi";"Grammomys selousi"
"3487";"Hylomyscus pamfi";"Hylomyscus pamfi"
"3488";"Leopoldamys diwangkarai";"Leopoldamys diwangkarai"
"3489";"Notomys robustus";"Notomys robustus"
"3490";"Pseudohydromys berniceae";"Pseudohydromys berniceae"
"3491";"Pseudohydromys patriciae";"Pseudohydromys patriciae"
"3492";"Pseudohydromys sandrae";"Pseudohydromys sandrae"
"3493";"Rattus nikenii";"Rattus nikenii"
"3494";"Ctenomys ibicuiensis";"Ctenomys ibicuiensis"
"3495";"Jaculus thaleri";"Jaculus thaleri"
"3496";"Dendromus lachaisei";"Dendromus lachaisei"
"3497";"Dendromus ruppi";"Dendromus ruppi"
"3498";"Petaurista mechukaensis";"Petaurista mechukaensis"
"3499";"Petaurista mishmiensis";"Petaurista mishmiensis"
"3500";"Neodon linzhiensis";"Neodon linzhiensis"
"3501";"Oxymycterus wayku";"Oxymycterus wayku"
"3502";"Phyllotis alisosiensis";"Phyllotis alisosiensis"
"3503";"Reithrodontomys musseri";"Reithrodontomys musseri"
"3504";"Canis mesomelas";"Canis mesomelas"
"3505";"Otocyon megalotis";"Otocyon megalotis"
"3506";"Vulpes chama";"Vulpes chama"
"3507";"Vulpes zerda";"Vulpes zerda"
"3508";"Urocyon cinereoargenteus";"Urocyon cinereoargenteus"
"3509";"Vulpes ferrilata";"Vulpes ferrilata"
"3510";"Vulpes rueppellii";"Vulpes rueppellii"
"3511";"Drymoreomys albimaculatus";"Drymoreomys albimaculatus"
"3512";"Paucidentomys vermidax";"Paucidentomys vermidax"
"3513";"Pseudoberylmys muongbangensis";"Pseudoberylmys muongbangensis"
"3514";"Soricomys leonardocoi";"Soricomys leonardocoi"
"3515";"Microcebus marohita";"Microcebus marohita"
"3516";"Canis adustus";"Canis adustus"
"3517";"Bos javanicus";"Bos javanicus"
"3518";"Bos sauveli";"Bos sauveli"
"3519";"Bos gaurus";"Bos gaurus"
"3520";"Bubalus depressicornis";"Bubalus depressicornis"
"3521";"Bubalus quarlesi";"Bubalus quarlesi"
"3522";"Bubalus arnee";"Bubalus arnee"
"3523";"Thomasomys andersoni";"Thomasomys andersoni"
"3524";"Bradypus torquatus";"Bradypus torquatus"
"3525";"Bradypus tridactylus";"Bradypus tridactylus"
"3526";"Bradypus variegatus";"Bradypus variegatus"
"3527";"Cabassous centralis";"Cabassous centralis"
"3528";"Cabassous chacoensis";"Cabassous chacoensis"
"3529";"Cabassous tatouay";"Cabassous tatouay"
"3530";"Cabassous unicinctus";"Cabassous unicinctus"
"3531";"Chaetophractus villosus";"Chaetophractus villosus"
"3532";"Calyptophractus retusus";"Calyptophractus retusus"
"3533";"Chlamyphorus truncatus";"Chlamyphorus truncatus"
"3534";"Choloepus didactylus";"Choloepus didactylus"
"3535";"Choloepus hoffmanni";"Choloepus hoffmanni"
"3536";"Cyclopes didactylus";"Cyclopes didactylus"
"3537";"Dasypus hybridus";"Dasypus hybridus"
"3538";"Dasypus kappleri";"Dasypus kappleri"
"3539";"Dasypus novemcinctus";"Dasypus novemcinctus"
"3540";"Dasypus pilosus";"Dasypus pilosus"
"3541";"Dasypus sabanicola";"Dasypus sabanicola"
"3542";"Dasypus septemcinctus";"Dasypus septemcinctus"
"3543";"Euphractus sexcinctus";"Euphractus sexcinctus"
"3544";"Myrmecophaga tridactyla";"Myrmecophaga tridactyla"
"3545";"Priodontes maximus";"Priodontes maximus"
"3546";"Tamandua mexicana";"Tamandua mexicana"
"3547";"Tamandua tetradactyla";"Tamandua tetradactyla"
"3548";"Tolypeutes matacus";"Tolypeutes matacus"
"3549";"Tolypeutes tricinctus";"Tolypeutes tricinctus"
"3550";"Zaedyus pichiy";"Zaedyus pichiy"
"3551";"Dasypus yepesi";"Dasypus yepesi"
"3552";"Bradypus pygmaeus";"Bradypus pygmaeus"
"3553";"Abrawayaomys chebezi";"Abrawayaomys chebezi"
"3554";"Scarturus toussi";"Scarturus toussi"
"3555";"Phyllomys sulinus";"Phyllomys sulinus"
"3556";"Heteromys catopterius";"Heteromys catopterius"
"3557";"Acomys selousi";"Acomys selousi"
"3558";"Acomys muzei";"Acomys muzei"
"3559";"Acomys ngurui";"Acomys ngurui"
"3560";"Soricomys montanus";"Soricomys montanus"
"3561";"Hylomyscus anselli";"Hylomyscus anselli"
"3562";"Hylomyscus arcimontensis";"Hylomyscus arcimontensis"
"3563";"Hylomyscus walterverheyeni";"Hylomyscus walterverheyeni"
"3564";"Leptomys arfakensis";"Leptomys arfakensis"
"3565";"Leptomys paulus";"Leptomys paulus"
"3566";"Lophuromys simensis";"Lophuromys simensis"
"3567";"Lophuromys menageshae";"Lophuromys menageshae"
"3568";"Lophuromys pseudosikapusi";"Lophuromys pseudosikapusi"
"3569";"Lophuromys stanleyi";"Lophuromys stanleyi"
"3570";"Lophuromys machangui";"Lophuromys machangui"
"3571";"Lophuromys sabunii";"Lophuromys sabunii"
"3572";"Lophuromys makundii";"Lophuromys makundii"
"3573";"Lophuromys kilonzoi";"Lophuromys kilonzoi"
"3574";"Microhydromys argenteus";"Microhydromys argenteus"
"3575";"Otomys cheesmani";"Otomys cheesmani"
"3576";"Otomys fortior";"Otomys fortior"
"3577";"Otomys simiensis";"Otomys simiensis"
"3578";"Otomys zinki";"Otomys zinki"
"3579";"Praomys coetzeei";"Praomys coetzeei"
"3580";"Pseudohydromys pumehanae";"Pseudohydromys pumehanae"
"3581";"Pseudohydromys carlae";"Pseudohydromys carlae"
"3582";"Vulpes cana";"Vulpes cana"
"3583";"Pseudohydromys eleanorae";"Pseudohydromys eleanorae"
"3584";"Mirzamys norahae";"Mirzamys norahae"
"3585";"Mirzamys louiseae";"Mirzamys louiseae"
"3586";"Eliurus carletoni";"Eliurus carletoni"
"3587";"Cryptotis mam";"Cryptotis mam"
"3588";"Cryptotis lacertosus";"Cryptotis lacertosus"
"3589";"Sylvisorex corbeti";"Sylvisorex corbeti"
"3590";"Fukomys vandewoestijneae";"Fukomys vandewoestijneae"
"3591";"Fukomys ilariae";"Fukomys ilariae"
"3592";"Lagidium ahuacaense";"Lagidium ahuacaense"
"3593";"Crocidura cranbrooki";"Crocidura cranbrooki"
"3594";"Crocidura annamitensis";"Crocidura annamitensis"
"3595";"Crocidura guy";"Crocidura guy"
"3596";"Crocidura panayensis";"Crocidura panayensis"
"3597";"Rhipidomys itoan";"Rhipidomys itoan"
"3598";"Rhipidomys tribei";"Rhipidomys tribei"
"3599";"Musseromys gulantang";"Musseromys gulantang"
"3600";"Akodon polopi";"Akodon polopi"
"3601";"Macaca sylvanus";"Macaca sylvanus"
"3602";"Addax nasomaculatus";"Addax nasomaculatus"
"3603";"Aepyceros melampus";"Aepyceros melampus"
"3604";"Ammodorcas clarkei";"Ammodorcas clarkei"
"3605";"Antilope cervicapra";"Antilope cervicapra"
"3606";"Cephalophus adersi";"Cephalophus adersi"
"3607";"Cephalophus callipygus";"Cephalophus callipygus"
"3608";"Cephalophus jentinki";"Cephalophus jentinki"
"3609";"Cephalophus leucogaster";"Cephalophus leucogaster"
"3610";"Philantomba maxwellii";"Philantomba maxwellii"
"3611";"Philantomba monticola";"Philantomba monticola"
"3612";"Cephalophus natalensis";"Cephalophus natalensis"
"3613";"Cephalophus niger";"Cephalophus niger"
"3614";"Cephalophus nigrifrons";"Cephalophus nigrifrons"
"3615";"Cephalophus ogilbyi";"Cephalophus ogilbyi"
"3616";"Cephalophus rufilatus";"Cephalophus rufilatus"
"3617";"Cephalophus silvicultor";"Cephalophus silvicultor"
"3618";"Cephalophus spadix";"Cephalophus spadix"
"3619";"Cephalophus weynsi";"Cephalophus weynsi"
"3620";"Cephalophus zebra";"Cephalophus zebra"
"3621";"Cephalophus harveyi";"Cephalophus harveyi"
"3622";"Connochaetes gnou";"Connochaetes gnou"
"3623";"Beatragus hunteri";"Beatragus hunteri"
"3624";"Damaliscus lunatus";"Damaliscus lunatus"
"3625";"Dorcatragus megalotis";"Dorcatragus megalotis"
