"";"parsed";"iucn"
"7401";"Lophorina magnifica";"Lophorina magnifica"
"7402";"Lophorina intercedens";"Lophorina intercedens"
"7403";"Lophorina paradisea";"Lophorina paradisea"
"7404";"Cicinnurus magnificus";"Cicinnurus magnificus"
"7405";"Cicinnurus regius";"Cicinnurus regius"
"7406";"Astrapia stephaniae";"Astrapia stephaniae"
"7407";"Astrapia rothschildi";"Astrapia rothschildi"
"7408";"Seleucidis melanoleucus";"Seleucidis melanoleucus"
"7409";"Paradisaea minor";"Paradisaea minor"
"7410";"Paradisaea raggiana";"Paradisaea raggiana"
"7411";"Cracticus cassicus";"Cracticus cassicus"
"7412";"Artamus monachus";"Artamus monachus"
"7413";"Artamus maximus";"Artamus maximus"
"7414";"Artamus insignis";"Artamus insignis"
"7415";"Peltops blainvillii";"Peltops blainvillii"
"7416";"Peltops montanus";"Peltops montanus"
"7417";"Sphecotheres hypoleucus";"Sphecotheres hypoleucus"
"7418";"Coracina larvata";"Coracina larvata"
"7419";"Ceblepyris caesius";"Ceblepyris caesius"
"7420";"Lalage melaschistos";"Lalage melaschistos"
"7421";"Lalage nigra";"Lalage nigra"
"7422";"Lalage leucopygialis";"Lalage leucopygialis"
"7423";"Lalage tricolor";"Lalage tricolor"
"7424";"Campephaga phoenicea";"Campephaga phoenicea"
"7425";"Rhipidura phoenicura";"Rhipidura phoenicura"
"7426";"Rhipidura nigrocinnamomea";"Rhipidura nigrocinnamomea"
"7427";"Rhipidura euryura";"Rhipidura euryura"
"7428";"Rhipidura perlata";"Rhipidura perlata"
"7429";"Rhipidura threnothorax";"Rhipidura threnothorax"
"7430";"Rhipidura teysmanni";"Rhipidura teysmanni"
"7431";"Rhipidura rufidorsa";"Rhipidura rufidorsa"
"7432";"Chaetorhynchus papuensis";"Chaetorhynchus papuensis"
"7433";"Pericrocotus roseus";"Pericrocotus roseus"
"7434";"Pericrocotus divaricatus";"Pericrocotus divaricatus"
"7435";"Pericrocotus tegimae";"Pericrocotus tegimae"
"7436";"Pericrocotus ethologus";"Pericrocotus ethologus"
"7437";"Pericrocotus brevirostris";"Pericrocotus brevirostris"
"7438";"Pericrocotus flammeus";"Pericrocotus flammeus"
"7439";"Eurostopodus exul";"Eurostopodus exul"
"7440";"Geospiza pauper";"Geospiza pauper"
"7441";"Scytalopus robbinsi";"Scytalopus robbinsi"
"7442";"Pternistis ochropectus";"Pternistis ochropectus"
"7443";"Nemosia rourei";"Nemosia rourei"
"7444";"Lophornis brachylophus";"Lophornis brachylophus"
"7445";"Synallaxis maranonica";"Synallaxis maranonica"
"7446";"Formicivora paludicola";"Formicivora paludicola"
"7447";"Loxops ochraceus";"Loxops ochraceus"
"7448";"Anas laysanensis";"Anas laysanensis"
"7449";"Grallaria chthonia";"Grallaria chthonia"
"7450";"Antilophia bokermanni";"Antilophia bokermanni"
"7451";"Troglodytes monticola";"Troglodytes monticola"
"7452";"Lipaugus weberi";"Lipaugus weberi"
"7453";"Oreomystis bairdi";"Oreomystis bairdi"
"7454";"Loxops caeruleirostris";"Loxops caeruleirostris"
"7455";"Telespiza ultima";"Telespiza ultima"
"7456";"Lathamus discolor";"Lathamus discolor"
"7457";"Cyanoramphus malherbi";"Cyanoramphus malherbi"
"7458";"Neophema chrysogaster";"Neophema chrysogaster"
"7459";"Geronticus eremita";"Geronticus eremita"
"7460";"Geokichla oberlaenderi";"Geokichla oberlaenderi"
"7461";"Crithagra ankoberensis";"Crithagra ankoberensis"
"7462";"Zosterops albogularis";"Zosterops albogularis"
