"";"parsed";"ebird_itis"
"2367";"Acanthiza inornata";"Acanthiza inornata"
"2368";"Acanthiza iredalei";"Acanthiza iredalei"
"2369";"Acanthiza uropygialis";"Acanthiza uropygialis"
"2370";"Acanthiza nana";"Acanthiza nana"
"2371";"Acanthiza lineata";"Acanthiza lineata"
"2372";"Acanthiza robustirostris";"Acanthiza robustirostris"
"2373";"Smicrornis brevirostris";"Smicrornis brevirostris"
"2374";"Gerygone chloronota";"Gerygone chloronota"
"2375";"Gerygone palpebrosa";"Gerygone palpebrosa"
"2376";"Gerygone olivacea";"Gerygone olivacea"
