"";"parsed";"ebird_itis"
"8441";"Anas platyrhynchos";"Anas platyrhynchos"
"8442";"Anthus richardi";"Anthus richardi"
"8443";"Anthus similis";"Anthus similis"
"8444";"Platalea leucorodia";"Platalea leucorodia"
"8445";"Pomarea whitneyi";"Pomarea whitneyi"
"8446";"Apus pallidus";"Apus pallidus"
"8447";"Aquila fasciata";"Aquila fasciata"
"8448";"Aquila heliaca";"Aquila heliaca"
"8449";"Ardea alba";"Ardea alba"
"8450";"Ardenna carneipes";"Ardenna carneipes"
"8451";"Athene noctua";"Athene noctua"
"8452";"Scolopax rusticola";"Scolopax rusticola"
"8453";"Scytalopus rodriguezi";"Scytalopus rodriguezi"
"8454";"Sporophila maximiliani";"Sporophila maximiliani"
"8455";"Bubo africanus";"Bubo africanus"
"8456";"Stachyris nonggangensis";"Stachyris nonggangensis"
"8457";"Bubo ascalaphus";"Bubo ascalaphus"
"8458";"Sternula albifrons";"Sternula albifrons"
"8459";"Bubulcus ibis";"Bubulcus ibis"
"8460";"Bucanetes githagineus";"Bucanetes githagineus"
"8461";"Sternula saundersi";"Sternula saundersi"
"8462";"Calidris alpina";"Calidris alpina"
"8463";"Calidris falcinellus";"Calidris falcinellus"
"8464";"Calidris tenuirostris";"Calidris tenuirostris"
"8465";"Caprimulgus aegyptius";"Caprimulgus aegyptius"
"8466";"Cercotrichas galactotes";"Cercotrichas galactotes"
"8467";"Charadrius alexandrinus";"Charadrius alexandrinus"
"8468";"Charadrius dubius";"Charadrius dubius"
"8469";"Charadrius hiaticula";"Charadrius hiaticula"
"8470";"Tichodroma muraria";"Tichodroma muraria"
"8471";"Cinnyris asiaticus";"Cinnyris asiaticus"
"8472";"Chlidonias niger";"Chlidonias niger"
"8473";"Columba livia";"Columba livia"
"8474";"Cuculus canorus";"Cuculus canorus"
"8475";"Dromas ardeola";"Dromas ardeola"
"8476";"Emberiza calandra";"Emberiza calandra"
"8477";"Galerida cristata";"Galerida cristata"
"8478";"Xenopirostris damii";"Xenopirostris damii"
"8479";"Gallinago gallinago";"Gallinago gallinago"
"8480";"Xenus cinereus";"Xenus cinereus"
"8481";"Gallinula chloropus";"Gallinula chloropus"
"8482";"Zoothera margaretae";"Zoothera margaretae"
"8483";"Gymnoris xanthocollis";"Gymnoris xanthocollis"
"8484";"Hydroprogne caspia";"Hydroprogne caspia"
"8485";"Hypocolius ampelinus";"Hypocolius ampelinus"
"8486";"Ixobrychus minutus";"Ixobrychus minutus"
"8487";"Egretta picata";"Egretta picata"
"8488";"Merops apiaster";"Merops apiaster"
"8489";"Elaenia albiceps";"Elaenia albiceps"
"8490";"Merops persicus";"Merops persicus"
"8491";"Nycticorax nycticorax";"Nycticorax nycticorax"
"8492";"Oena capensis";"Oena capensis"
"8493";"Emberiza caesia";"Emberiza caesia"
"8494";"Oenanthe albonigra";"Oenanthe albonigra"
"8495";"Oenanthe monacha";"Oenanthe monacha"
"8496";"Emberiza pallasi";"Emberiza pallasi"
"8497";"Passer domesticus";"Passer domesticus"
"8498";"Phalacrocorax carbo";"Phalacrocorax carbo"
"8499";"Phalacrocorax nigrogularis";"Phalacrocorax nigrogularis"
"8500";"Emberiza siemsseni";"Emberiza siemsseni"
"8501";"Phalaropus lobatus";"Phalaropus lobatus"
"8502";"Phoenicopterus roseus";"Phoenicopterus roseus"
"8503";"Plegadis falcinellus";"Plegadis falcinellus"
"8504";"Pluvialis fulva";"Pluvialis fulva"
"8505";"Porphyrio porphyrio";"Porphyrio porphyrio"
"8506";"Prinia gracilis";"Prinia gracilis"
"8507";"Puffinus persicus";"Puffinus persicus"
"8508";"Pycnonotus xanthopygos";"Pycnonotus xanthopygos"
"8509";"Rallus aquaticus";"Rallus aquaticus"
"8510";"Riparia riparia";"Riparia riparia"
"8511";"Sterna hirundo";"Sterna hirundo"
"8512";"Ficedula albicollis";"Ficedula albicollis"
"8513";"Tachybaptus ruficollis";"Tachybaptus ruficollis"
"8514";"Todiramphus chloris";"Todiramphus chloris"
"8515";"Tyto alba";"Tyto alba"
"8516";"Vanellus gregarius";"Vanellus gregarius"
"8517";"Ficedula ruficauda";"Ficedula ruficauda"
"8518";"Hirundapus caudacutus";"Hirundapus caudacutus"
"8519";"Hirundo atrocaerulea";"Hirundo atrocaerulea"
"8520";"Horornis canturians";"Horornis canturians"
"8521";"Microptilotis gracilis";"Microptilotis gracilis"
"8522";"Iduna opaca";"Iduna opaca"
"8523";"Lanius excubitor";"Lanius excubitor"
"8524";"Lanius nubicus";"Lanius nubicus"
"8525";"Larus canus";"Larus canus"
"8526";"Larus glaucoides";"Larus glaucoides"
"8527";"Larvivora brunnea";"Larvivora brunnea"
"8528";"Lullula arborea";"Lullula arborea"
"8529";"Microcarbo pygmaeus";"Microcarbo pygmaeus"
"8530";"Monticola cinclorhyncha";"Monticola cinclorhyncha"
"8531";"Motacilla flava";"Motacilla flava"
"8532";"Muscicapa dauurica";"Muscicapa dauurica"
"8533";"Muscicapa sibirica";"Muscicapa sibirica"
"8534";"Muscicapa striata";"Muscicapa striata"
"8535";"Muscisaxicola capistratus";"Muscisaxicola capistratus"
"8536";"Neophedina cincta";"Neophedina cincta"
"8537";"Oenanthe cypriaca";"Oenanthe cypriaca"
"8538";"Oenanthe finschii";"Oenanthe finschii"
"8539";"Oenanthe hispanica";"Oenanthe hispanica"
"8540";"Oenanthe lugens";"Oenanthe lugens"
"8541";"Oenanthe picata";"Oenanthe picata"
"8542";"Passer moabiticus";"Passer moabiticus"
"8543";"Phoenicurus ochruros";"Phoenicurus ochruros"
"8544";"Phoenicurus phoenicurus";"Phoenicurus phoenicurus"
"8545";"Phylloscopus burkii";"Phylloscopus burkii"
"8546";"Phylloscopus collybita";"Phylloscopus collybita"
"8547";"Phylloscopus ibericus";"Phylloscopus ibericus"
"8548";"Phylloscopus neglectus";"Phylloscopus neglectus"
"8549";"Phylloscopus nitidus";"Phylloscopus nitidus"
"8550";"Phylloscopus sindianus";"Phylloscopus sindianus"
"8551";"Pterocles alchata";"Pterocles alchata"
"8552";"Rallus limicola";"Rallus limicola"
"8553";"Rissa tridactyla";"Rissa tridactyla"
"8554";"Serinus syriacus";"Serinus syriacus"
"8555";"Sporophila cinnamomea";"Sporophila cinnamomea"
"8556";"Sporophila palustris";"Sporophila palustris"
"8557";"Sterna striata";"Sterna striata"
"8558";"Sterna vittata";"Sterna vittata"
"8559";"Sternula lorata";"Sternula lorata"
"8560";"Curruca cantillans";"Curruca cantillans"
"8561";"Curruca communis";"Curruca communis"
"8562";"Curruca conspicillata";"Curruca conspicillata"
"8563";"Curruca crassirostris";"Curruca crassirostris"
"8564";"Curruca curruca";"Curruca curruca"
"8565";"Curruca hortensis";"Curruca hortensis"
"8566";"Curruca ruppeli";"Curruca ruppeli"
"8567";"Curruca subalpina";"Curruca subalpina"
"8568";"Terpsiphone paradisi";"Terpsiphone paradisi"
"8569";"Turdus feae";"Turdus feae"
"8570";"Turdus torquatus";"Turdus torquatus"
"8571";"Turdus unicolor";"Turdus unicolor"
"8572";"Turnix nanus";"Turnix nanus"
"8573";"Urile pelagicus";"Urile pelagicus"
"8574";"Eclectus roratus";"Eclectus roratus"
"8575";"Microptilotis imitatrix";"Microptilotis imitatrix"
"8576";"Zosterops japonicus";"Zosterops japonicus"
"8577";"Arremon flavirostris";"Arremon flavirostris"
"8578";"Arremon dorbignii";"Arremon dorbignii"
"8579";"Ortalis squamata";"Ortalis squamata"
"8580";"Cypsiurus parvus";"Cypsiurus parvus"
"8581";"Cypsiurus gracilis";"Cypsiurus gracilis"
"8582";"Pterodroma ultima";"Pterodroma ultima"
"8583";"Zoothera dauma";"Zoothera dauma"
"8584";"Zosterops leucophaeus";"Zosterops leucophaeus"
"8585";"Phaethon aethereus";"Phaethon aethereus"
"8586";"Vireo chivi";"Vireo chivi"
"8587";"Cichlocolaptes mazarbarnetti";"Cichlocolaptes mazarbarnetti"
"8588";"Cotinga maculata";"Cotinga maculata"
"8589";"Ortalis guttata";"Ortalis guttata"
"8590";"Dysithamnus plumbeus";"Dysithamnus plumbeus"
"8591";"Glaucidium mooreorum";"Glaucidium mooreorum"
"8592";"Glaucidium sanchezi";"Glaucidium sanchezi"
"8593";"Megapodius pritchardii";"Megapodius pritchardii"
"8594";"Macgregoria pulchra";"Macgregoria pulchra"
"8595";"Remiz pendulinus";"Remiz pendulinus"
"8596";"Philydor novaesi";"Philydor novaesi"
"8597";"Formicivora acutirostris";"Formicivora acutirostris"
"8598";"Clytorhynchus hamlini";"Clytorhynchus hamlini"
"8599";"Eos semilarvata";"Eos semilarvata"
"8600";"Lipaugus ater";"Lipaugus ater"
"8601";"Loriculus flosculus";"Loriculus flosculus"
"8602";"Callaeas cinereus";"Callaeas cinereus"
"8603";"Spelaeornis chocolatinus";"Spelaeornis chocolatinus"
"8604";"Symposiachrus menckei";"Symposiachrus menckei"
"8605";"Megapodius tenimberensis";"Megapodius tenimberensis"
"8606";"Certhia tianquanensis";"Certhia tianquanensis"
"8607";"Diglossa gloriosissima";"Diglossa gloriosissima"
"8608";"Hydrobates hornbyi";"Hydrobates hornbyi"
"8609";"Vanellus macropterus";"Vanellus macropterus"
"8610";"Hydrobates markhami";"Hydrobates markhami"
"8611";"Robsonius sorsogonensis";"Robsonius sorsogonensis"
"8612";"Megazosterops palauensis";"Megazosterops palauensis"
"8613";"Todiramphus albonotatus";"Todiramphus albonotatus"
"8614";"Phylloscartes kronei";"Phylloscartes kronei"
"8615";"Todiramphus tutus";"Todiramphus tutus"
"8616";"Rhynochetos jubatus";"Rhynochetos jubatus"
"8617";"Didunculus strigirostris";"Didunculus strigirostris"
"8618";"Sporophila melanogaster";"Sporophila melanogaster"
"8619";"Chloropsis media";"Chloropsis media"
"8620";"Ptilinopus richardsii";"Ptilinopus richardsii"
"8621";"Hydrornis gurneyi";"Hydrornis gurneyi"
"8622";"Zenaida galapagoensis";"Zenaida galapagoensis"
"8623";"Xema sabini";"Xema sabini"
"8624";"Spheniscus demersus";"Spheniscus demersus"
"8625";"Spheniscus magellanicus";"Spheniscus magellanicus"
"8626";"Anser caerulescens";"Anser caerulescens"
"8627";"Aquila gurneyi";"Aquila gurneyi"
"8628";"Petroica pusilla";"Petroica pusilla"
"8629";"Petroica multicolor";"Petroica multicolor"
"8630";"Schoutedenapus myoptilus";"Schoutedenapus myoptilus"
"8631";"Gypohierax angolensis";"Gypohierax angolensis"
"8632";"Pomarea mira";"Pomarea mira"
"8633";"Sitta ledanti";"Sitta ledanti"
"8634";"Clamator glandarius";"Clamator glandarius"
"8635";"Aptenodytes forsteri";"Aptenodytes forsteri"
"8636";"Pygoscelis adeliae";"Pygoscelis adeliae"
"8637";"Pygoscelis papua";"Pygoscelis papua"
"8638";"Terpsiphone corvina";"Terpsiphone corvina"
"8639";"Gyps fulvus";"Gyps fulvus"
"8640";"Limosa haemastica";"Limosa haemastica"
"8641";"Merulaxis stresemanni";"Merulaxis stresemanni"
"8642";"Myrmotherula snowi";"Myrmotherula snowi"
"8643";"Phylloscartes ceciliae";"Phylloscartes ceciliae"
"8644";"Heliornis fulica";"Heliornis fulica"
"8645";"Burhinus bistriatus";"Burhinus bistriatus"
"8646";"Chamaepetes unicolor";"Chamaepetes unicolor"
"8647";"Geotrygon violacea";"Geotrygon violacea"
"8648";"Leptotila jamaicensis";"Leptotila jamaicensis"
"8649";"Zentrygon costaricensis";"Zentrygon costaricensis"
"8650";"Zentrygon lawrencii";"Zentrygon lawrencii"
"8651";"Zentrygon albifacies";"Zentrygon albifacies"
"8652";"Zentrygon chiriquensis";"Zentrygon chiriquensis"
"8653";"Zenaida aurita";"Zenaida aurita"
"8654";"Lurocalis semitorquatus";"Lurocalis semitorquatus"
"8655";"Nyctiphrynus mcleodii";"Nyctiphrynus mcleodii"
"8656";"Nyctiphrynus yucatanicus";"Nyctiphrynus yucatanicus"
"8657";"Nyctiphrynus ocellatus";"Nyctiphrynus ocellatus"
"8658";"Antrostomus rufus";"Antrostomus rufus"
"8659";"Antrostomus salvini";"Antrostomus salvini"
"8660";"Antrostomus badius";"Antrostomus badius"
"8661";"Antrostomus saturatus";"Antrostomus saturatus"
"8662";"Hydropsalis cayennensis";"Hydropsalis cayennensis"
"8663";"Hydropsalis maculicaudus";"Hydropsalis maculicaudus"
"8664";"Cathartes burrovianus";"Cathartes burrovianus"
"8665";"Euphonia laniirostris";"Euphonia laniirostris"
"8666";"Euphonia minuta";"Euphonia minuta"
"8667";"Spinus xanthogastrus";"Spinus xanthogastrus"
"8668";"Micrastur mirandollei";"Micrastur mirandollei"
"8669";"Ibycter americanus";"Ibycter americanus"
"8670";"Milvago chimachima";"Milvago chimachima"
"8671";"Capito maculicoronatus";"Capito maculicoronatus"
"8672";"Eubucco bourcierii";"Eubucco bourcierii"
"8673";"Brachygalba salmoni";"Brachygalba salmoni"
"8674";"Galbula ruficauda";"Galbula ruficauda"
"8675";"Jacamerops aureus";"Jacamerops aureus"
"8676";"Chloroceryle amazona";"Chloroceryle amazona"
"8677";"Chloroceryle inda";"Chloroceryle inda"
"8678";"Chloroceryle aenea";"Chloroceryle aenea"
"8679";"Nyctibius grandis";"Nyctibius grandis"
"8680";"Nyctibius griseus";"Nyctibius griseus"
"8681";"Nyctibius jamaicensis";"Nyctibius jamaicensis"
"8682";"Micropygia schomburgkii";"Micropygia schomburgkii"
"8683";"Laterallus ruber";"Laterallus ruber"
"8684";"Laterallus exilis";"Laterallus exilis"
"8685";"Amaurolimnas concolor";"Amaurolimnas concolor"
"8686";"Jacana jacana";"Jacana jacana"
"8687";"Puffinus subalaris";"Puffinus subalaris"
"8688";"Mesembrinibis cayennensis";"Mesembrinibis cayennensis"
"8689";"Vanellus chilensis";"Vanellus chilensis"
"8690";"Charadrius collaris";"Charadrius collaris"
"8691";"Jabiru mycteria";"Jabiru mycteria"
"8692";"Eurypyga helias";"Eurypyga helias"
"8693";"Sula granti";"Sula granti"
"8694";"Momotus mexicanus";"Momotus mexicanus"
"8695";"Momotus coeruliceps";"Momotus coeruliceps"
"8696";"Momotus lessonii";"Momotus lessonii"
"8697";"Momotus subrufescens";"Momotus subrufescens"
"8698";"Baryphthengus martii";"Baryphthengus martii"
"8699";"Electron platyrhynchum";"Electron platyrhynchum"
"8700";"Eumomota superciliosa";"Eumomota superciliosa"
"8701";"Fregata minor";"Fregata minor"
"8702";"Crypturellus cinnamomeus";"Crypturellus cinnamomeus"
"8703";"Eupsittula pertinax";"Eupsittula pertinax"
"8704";"Ara chloropterus";"Ara chloropterus"
"8705";"Forpus conspicillatus";"Forpus conspicillatus"
"8706";"Pionus menstruus";"Pionus menstruus"
"8707";"Botaurus pinnatus";"Botaurus pinnatus"
"8708";"Ardea cocoi";"Ardea cocoi"
"8709";"Pilherodius pileatus";"Pilherodius pileatus"
"8710";"Coccycua minuta";"Coccycua minuta"
"8711";"Piaya cayana";"Piaya cayana"
"8712";"Tapera naevia";"Tapera naevia"
"8713";"Dromococcyx phasianellus";"Dromococcyx phasianellus"
"8714";"Geococcyx velox";"Geococcyx velox"
"8715";"Crotophaga major";"Crotophaga major"
"8716";"Anous minutus";"Anous minutus"
"8717";"Phaethon lepturus";"Phaethon lepturus"
"8718";"Phaethon rubricauda";"Phaethon rubricauda"
"8719";"Trogon melanurus";"Trogon melanurus"
"8720";"Trogon chionurus";"Trogon chionurus"
"8721";"Euptilotis neoxenus";"Euptilotis neoxenus"
"8722";"Geothlypis semiflava";"Geothlypis semiflava"
"8723";"Paraclaravis mondetoura";"Paraclaravis mondetoura"
"8724";"Aramides albiventris";"Aramides albiventris"
"8725";"Aramides cajaneus";"Aramides cajaneus"
"8726";"Hylophilus flavipes";"Hylophilus flavipes"
"8727";"Pachysylvia aurantiifrons";"Pachysylvia aurantiifrons"
"8728";"Campylorhynchus albobrunneus";"Campylorhynchus albobrunneus"
"8729";"Cantorchilus leucotis";"Cantorchilus leucotis"
"8730";"Florisuga mellivora";"Florisuga mellivora"
"8731";"Glaucis aeneus";"Glaucis aeneus"
"8732";"Glaucis hirsutus";"Glaucis hirsutus"
"8733";"Threnetes ruckeri";"Threnetes ruckeri"
"8734";"Phaethornis guy";"Phaethornis guy"
"8735";"Phaethornis anthophilus";"Phaethornis anthophilus"
"8736";"Phaethornis striigularis";"Phaethornis striigularis"
"8737";"Colibri delphinae";"Colibri delphinae"
"8738";"Colibri thalassinus";"Colibri thalassinus"
"8739";"Anthracothorax prevostii";"Anthracothorax prevostii"
"8740";"Anthracothorax nigricollis";"Anthracothorax nigricollis"
"8741";"Anthracothorax veraguensis";"Anthracothorax veraguensis"
"8742";"Lophornis delattrei";"Lophornis delattrei"
"8743";"Lophornis adorabilis";"Lophornis adorabilis"
"8744";"Panterpe insignis";"Panterpe insignis"
"8745";"Heliomaster longirostris";"Heliomaster longirostris"
"8746";"Heliomaster constantii";"Heliomaster constantii"
"8747";"Lampornis hemileucus";"Lampornis hemileucus"
"8748";"Lampornis calolaemus";"Lampornis calolaemus"
"8749";"Doricha enicura";"Doricha enicura"
"8750";"Calothorax pulcher";"Calothorax pulcher"
"8751";"Selasphorus flammula";"Selasphorus flammula"
"8752";"Selasphorus scintilla";"Selasphorus scintilla"
"8753";"Chlorostilbon assimilis";"Chlorostilbon assimilis"
"8754";"Klais guimeti";"Klais guimeti"
"8755";"Campylopterus hemileucurus";"Campylopterus hemileucurus"
"8756";"Chalybura buffonii";"Chalybura buffonii"
"8757";"Amazilia tzacatl";"Amazilia tzacatl"
"8758";"Amazilia rutila";"Amazilia rutila"
"8759";"Basilinna xantusii";"Basilinna xantusii"
"8760";"Anthus lutescens";"Anthus lutescens"
"8761";"Arremon brunneinucha";"Arremon brunneinucha"
"8762";"Arremonops conirostris";"Arremonops conirostris"
"8763";"Cymbilaimus lineatus";"Cymbilaimus lineatus"
"8764";"Taraba major";"Taraba major"
"8765";"Thamnophilus doliatus";"Thamnophilus doliatus"
"8766";"Thamnophilus nigriceps";"Thamnophilus nigriceps"
"8767";"Dysithamnus mentalis";"Dysithamnus mentalis"
"8768";"Cercomacra nigricans";"Cercomacra nigricans"
"8769";"Myrmeciza longipes";"Myrmeciza longipes"
"8770";"Hafferia zeledoni";"Hafferia zeledoni"
"8771";"Tangara lavinia";"Tangara lavinia"
"8772";"Tangara gyrola";"Tangara gyrola"
"8773";"Spodiornis rusticus";"Spodiornis rusticus"
"8774";"Hemithraupis flavicollis";"Hemithraupis flavicollis"
"8775";"Volatinia jacarina";"Volatinia jacarina"
"8776";"Tachyphonus rufus";"Tachyphonus rufus"
"8777";"Ramphocelus dimidiatus";"Ramphocelus dimidiatus"
"8778";"Cyanerpes cyaneus";"Cyanerpes cyaneus"
"8779";"Saltator olivascens";"Saltator olivascens"
"8780";"Saltator striatipectus";"Saltator striatipectus"
"8781";"Megascops seductus";"Megascops seductus"
"8782";"Megascops cooperi";"Megascops cooperi"
"8783";"Megascops choliba";"Megascops choliba"
"8784";"Asio clamator";"Asio clamator"
"8785";"Nystalus radiatus";"Nystalus radiatus"
"8786";"Notharchus hyperrhynchus";"Notharchus hyperrhynchus"
"8787";"Notharchus pectoralis";"Notharchus pectoralis"
"8788";"Notharchus tectus";"Notharchus tectus"
"8789";"Micromonacha lanceolata";"Micromonacha lanceolata"
"8790";"Nonnula frontalis";"Nonnula frontalis"
"8791";"Monasa morphoeus";"Monasa morphoeus"
"8792";"Chlorospingus flavigularis";"Chlorospingus flavigularis"
"8793";"Cypseloides cryptus";"Cypseloides cryptus"
"8794";"Streptoprocne rutila";"Streptoprocne rutila"
"8795";"Streptoprocne zonaris";"Streptoprocne zonaris"
"8796";"Streptoprocne semicollaris";"Streptoprocne semicollaris"
"8797";"Chaetura chapmani";"Chaetura chapmani"
"8798";"Chaetura brachyura";"Chaetura brachyura"
"8799";"Chaetura spinicaudus";"Chaetura spinicaudus"
"8800";"Chaetura cinereiventris";"Chaetura cinereiventris"
"8801";"Panyptila cayennensis";"Panyptila cayennensis"
"8802";"Panyptila sanctihieronymi";"Panyptila sanctihieronymi"
"8803";"Turdus albicollis";"Turdus albicollis"
"8804";"Platyrinchus mystaceus";"Platyrinchus mystaceus"
"8805";"Tyrannulus elatus";"Tyrannulus elatus"
"8806";"Serpophaga cinerea";"Serpophaga cinerea"
"8807";"Legatus leucophaius";"Legatus leucophaius"
"8808";"Sittasomus griseicapillus";"Sittasomus griseicapillus"
"8809";"Deconychura longicauda";"Deconychura longicauda"
"8810";"Dendrocolaptes picumnus";"Dendrocolaptes picumnus"
"8811";"Automolus ochrolaemus";"Automolus ochrolaemus"
"8812";"Automolus subulatus";"Automolus subulatus"
"8813";"Amazilia boucardi";"Amazilia boucardi"
"8814";"Picumnus olivaceus";"Picumnus olivaceus"
"8815";"Melanerpes chrysauchen";"Melanerpes chrysauchen"
"8816";"Melanerpes chrysogenys";"Melanerpes chrysogenys"
"8817";"Melanerpes rubricapillus";"Melanerpes rubricapillus"
"8818";"Melanerpes hoffmannii";"Melanerpes hoffmannii"
"8819";"Piculus chrysochloros";"Piculus chrysochloros"
"8820";"Colaptes punctigula";"Colaptes punctigula"
"8821";"Campephilus haematogaster";"Campephilus haematogaster"
"8822";"Campephilus melanoleucos";"Campephilus melanoleucos"
"8823";"Ramphastos sulfuratus";"Ramphastos sulfuratus"
"8824";"Gampsonyx swainsonii";"Gampsonyx swainsonii"
"8825";"Leptodon cayanensis";"Leptodon cayanensis"
"8826";"Spizaetus tyrannus";"Spizaetus tyrannus"
"8827";"Spizaetus melanoleucus";"Spizaetus melanoleucus"
"8828";"Harpagus bidentatus";"Harpagus bidentatus"
"8829";"Accipiter superciliosus";"Accipiter superciliosus"
"8830";"Accipiter bicolor";"Accipiter bicolor"
"8831";"Ictinia plumbea";"Ictinia plumbea"
"8832";"Busarellus nigricollis";"Busarellus nigricollis"
"8833";"Geranospiza caerulescens";"Geranospiza caerulescens"
"8834";"Helicolestes hamatus";"Helicolestes hamatus"
"8835";"Buteogallus meridionalis";"Buteogallus meridionalis"
"8836";"Buteogallus urubitinga";"Buteogallus urubitinga"
"8837";"Morphnarchus princeps";"Morphnarchus princeps"
"8838";"Rupornis magnirostris";"Rupornis magnirostris"
"8839";"Pseudastur albicollis";"Pseudastur albicollis"
"8840";"Leucopternis semiplumbeus";"Leucopternis semiplumbeus"
"8841";"Buteo nitidus";"Buteo nitidus"
"8842";"Leptotila verreauxi";"Leptotila verreauxi"
"8843";"Sporophila morelleti";"Sporophila morelleti"
"8844";"Micrathene whitneyi";"Micrathene whitneyi"
"8845";"Aethia psittacula";"Aethia psittacula"
"8846";"Aethia pusilla";"Aethia pusilla"
"8847";"Aethia pygmaea";"Aethia pygmaea"
"8848";"Fratercula corniculata";"Fratercula corniculata"
"8849";"Fratercula cirrhata";"Fratercula cirrhata"
"8850";"Chordeiles gundlachii";"Chordeiles gundlachii"
"8851";"Nyctidromus albicollis";"Nyctidromus albicollis"
"8852";"Antrostomus ridgwayi";"Antrostomus ridgwayi"
"8853";"Leiothlypis crissalis";"Leiothlypis crissalis"
"8854";"Setophaga pitiayumi";"Setophaga pitiayumi"
"8855";"Trogon elegans";"Trogon elegans"
"8856";"Megaceryle torquata";"Megaceryle torquata"
"8857";"Chloroceryle americana";"Chloroceryle americana"
"8858";"Rhodostethia rosea";"Rhodostethia rosea"
"8859";"Larus livens";"Larus livens"
"8860";"Anous stolidus";"Anous stolidus"
"8861";"Onychoprion fuscatus";"Onychoprion fuscatus"
"8862";"Crotophaga ani";"Crotophaga ani"
"8863";"Coturnicops noveboracensis";"Coturnicops noveboracensis"
"8864";"Jacana spinosa";"Jacana spinosa"
"8865";"Ardenna gravis";"Ardenna gravis"
"8866";"Eugenes fulgens";"Eugenes fulgens"
"8867";"Lampornis clemenciae";"Lampornis clemenciae"
"8868";"Calothorax lucifer";"Calothorax lucifer"
"8869";"Cynanthus latirostris";"Cynanthus latirostris"
"8870";"Cynanthus doubledayi";"Cynanthus doubledayi"
"8871";"Hydrobates furcatus";"Hydrobates furcatus"
"8872";"Hydrobates melania";"Hydrobates melania"
"8873";"Fregata magnificens";"Fregata magnificens"
"8874";"Sula nebouxii";"Sula nebouxii"
"8875";"Sula sula";"Sula sula"
"8876";"Chondrohierax uncinatus";"Chondrohierax uncinatus"
"8877";"Rostrhamus sociabilis";"Rostrhamus sociabilis"
"8878";"Buteogallus anthracinus";"Buteogallus anthracinus"
"8879";"Geranoaetus albicaudatus";"Geranoaetus albicaudatus"
"8880";"Buteo plagiatus";"Buteo plagiatus"
"8881";"Buteo brachyurus";"Buteo brachyurus"
"8882";"Buteo albonotatus";"Buteo albonotatus"
"8883";"Hemiprocne longipennis";"Hemiprocne longipennis"
"8884";"Accipiter collaris";"Accipiter collaris"
"8885";"Terpsiphone bourbonnensis";"Terpsiphone bourbonnensis"
"8886";"Tangara fucosa";"Tangara fucosa"
"8887";"Porphyrio hochstetteri";"Porphyrio hochstetteri"
"8888";"Phylloscartes difficilis";"Phylloscartes difficilis"
"8889";"Anas nesiotis";"Anas nesiotis"
"8890";"Lepidothrix iris";"Lepidothrix iris"
"8891";"Acrocephalus caffer";"Acrocephalus caffer"
"8892";"Acrocephalus rimitarae";"Acrocephalus rimitarae"
"8893";"Accipiter imitator";"Accipiter imitator"
"8894";"Campephilus gayaquilensis";"Campephilus gayaquilensis"
"8895";"Accipiter poliogaster";"Accipiter poliogaster"
"8896";"Conirostrum binghami";"Conirostrum binghami"
"8897";"Alopecoenas kubaryi";"Alopecoenas kubaryi"
"8898";"Forpus xanthops";"Forpus xanthops"
"8899";"Sporophila nigrorufa";"Sporophila nigrorufa"
"8900";"Aglaeactis aliciae";"Aglaeactis aliciae"
"8901";"Anumara forbesi";"Anumara forbesi"
"8902";"Polemaetus bellicosus";"Polemaetus bellicosus"
"8903";"Myiarchus semirufus";"Myiarchus semirufus"
"8904";"Cercomacra ferdinandi";"Cercomacra ferdinandi"
"8905";"Augastes lumachella";"Augastes lumachella"
"8906";"Ara ambiguus";"Ara ambiguus"
"8907";"Pyrrhura viridicata";"Pyrrhura viridicata"
"8908";"Actophilornis albinucha";"Actophilornis albinucha"
"8909";"Eriocnemis nigrivestis";"Eriocnemis nigrivestis"
"8910";"Coracina javensis";"Coracina javensis"
"8911";"Coracina macei";"Coracina macei"
"8912";"Oriolus kundoo";"Oriolus kundoo"
"8913";"Accipiter henstii";"Accipiter henstii"
"8914";"Malacoptila striata";"Malacoptila striata"
"8915";"Pomarea nigra";"Pomarea nigra"
"8916";"Circus maurus";"Circus maurus"
"8917";"Apalis lynesi";"Apalis lynesi"
"8918";"Sagittarius serpentarius";"Sagittarius serpentarius"
"8919";"Chersophilus duponti";"Chersophilus duponti"
"8920";"Capito brunneipectus";"Capito brunneipectus"
"8921";"Laniarius amboimensis";"Laniarius amboimensis"
"8922";"Turnix hottentottus";"Turnix hottentottus"
"8923";"Laniarius brauni";"Laniarius brauni"
"8924";"Amazona dufresniana";"Amazona dufresniana"
"8925";"Falco fasciinucha";"Falco fasciinucha"
"8926";"Terathopius ecaudatus";"Terathopius ecaudatus"
"8927";"Setophaga cerulea";"Setophaga cerulea"
"8928";"Procnias tricarunculatus";"Procnias tricarunculatus"
"8929";"Haliaeetus vocifer";"Haliaeetus vocifer"
"8930";"Apalis kaboboensis";"Apalis kaboboensis"
"8931";"Lipaugus uropygialis";"Lipaugus uropygialis"
"8932";"Ploceus bannermani";"Ploceus bannermani"
"8933";"Criniger olivaceus";"Criniger olivaceus"
"8934";"Formicivora erythronotos";"Formicivora erythronotos"
"8935";"Malimbus ballmanni";"Malimbus ballmanni"
"8936";"Leptosittaca branickii";"Leptosittaca branickii"
"8937";"Hypocnemis striata";"Hypocnemis striata"
"8938";"Grallaria watkinsi";"Grallaria watkinsi"
