"";"ED";"ES"
"Odontophorus balliviani";0,000121430967291621;0
"Odontophorus stellatus";0,000121430967291621;0
"Odontophorus guttatus";0,000121430967291621;0
"Dactylortyx thoracicus";0,000121430967291621;0
"Cyrtonyx montezumae";0,000121430967291621;0
"Cyrtonyx ocellatus";0,000121430967291621;0
"Rhynchortyx cinctus";0,000121430967291621;0
"Anhima cornuta";0,00209938384174702;2,38702697022277e-11
"Chauna chavaria";0,00209938384174702;2,38702697022277e-11
"Chauna torquata";0,00209938384174702;4,77405394044554e-11
"Anseranas semipalmata";0,00209938384174702;9,54810788089108e-11
"Dendrocygna guttata";0,0479386917473029;0,059168450641062
"Dendrocygna eytoni";0,000693294178886494;1,24469600603954e-27
"Dendrocygna bicolor";0,00465255974441694;9,7104824071516e-06
"Dendrocygna arcuata";0,00585288077107781;0,000139738215383861
"Dendrocygna javanica";0,000693294178886494;1,24469600603954e-27
"Dendrocygna viduata";0,00422251276000427;1,36463100960801e-07
"Dendrocygna arborea";0,000693294178886494;2,48939201207908e-27
"Dendrocygna autumnalis";0,0010600139411239;1,56347869614793e-40
"Thalassornis leuconotus";0,00267391630260218;4,14885840447454e-19
"Nomonyx dominicus";0,00267391630260218;4,14885840447454e-19
"Oxyura jamaicensis";0,00267391630260218;8,29771680894908e-19
"Oxyura leucocephala";0,00422251276000427;1,36463100960801e-07
"Oxyura maccoa";0,00267391630260218;1,65954336178982e-18
"Oxyura vittata";0,00267391630260218;3,31908672357963e-18
"Oxyura australis";0,00422251276000427;2,72926201921603e-07
"Biziura lobata";0,00267391630260218;6,63817344715927e-18
"Heteronetta atricapilla";0,00148951790743838;4,53269803072213e-25
"Stictonetta naevosa";0,00148951790743838;4,53269803072213e-25
"Cygnus olor";0,00148951790743838;9,06539606144426e-25
"Cygnus atratus";0,00148951790743838;1,81307921228885e-24
"Cygnus melancoryphus";0,00148951790743838;3,6261584245777e-24
"Cygnus cygnus";0,00235254371181596;2,05416308092332e-11
"Cygnus buccinator";0,00148951790743838;7,25231684915541e-24
"Cygnus columbianus";0,0010600139411239;1,56347869614793e-40
"Coscoroba coscoroba";0,0010600139411239;3,12695739229587e-40
"Anser cygnoides";0,000693294178886494;4,97878402415817e-27
"Anser brachyrhynchus";0,00209938384174702;1,90962157617822e-10
"Anser fabalis";0,000693294178886494;9,95756804831634e-27
"Anser albifrons";0,000693294178886494;1,99151360966327e-26
"Anser erythropus";0,000693294178886494;3,98302721932653e-26
"Anser anser";0,000693294178886494;7,96605443865307e-26
"Anser indicus";0,000693294178886494;1,59321088773061e-25
"Chen caerulescens";0,000693294178886494;3,18642177546123e-25
"Chen rossii";0,000693294178886494;6,37284355092246e-25
"Chen canagica";0,000693294178886494;1,27456871018449e-24
"Branta sandvicensis";0,00261391853270963;9,33995310963619e-05
"Branta canadensis";0,00209938384174702;3,81924315235643e-10
"Branta leucopsis";0,000693294178886494;2,54913742036898e-24
"Branta bernicla";0,00209938384174702;7,63848630471286e-10
"Branta ruficollis";0,000693294178886494;5,09827484073796e-24
"Cereopsis novaehollandiae";0,00261391853270963;9,33995310963619e-05
"Plectropterus gambensis";0,00261391853270963;0,000186799062192724
"Sarkidiornis melanotos";0,0010600139411239;6,25391478459173e-40
"Tadorna ferruginea";0,00148951790743838;1,45046336983108e-23
"Tadorna cana";0,0010600139411239;1,25078295691835e-39
"Tadorna tadornoides";0,0010600139411239;2,50156591383669e-39
"Tadorna variegata";0,000693294178886494;1,01965496814759e-23
"Tadorna tadorna";0,00684039134801835;0,00428101225145029
"Tadorna radjah";0,00209938384174702;1,52769726094257e-09
"Malacorhynchus membranaceus";0,00148951790743838;2,90092673966216e-23
"Alopochen aegyptiaca";0,001639862093738;2,40212318121958e-09
"Neochen jubata";0,000693294178886494;2,03930993629519e-23
"Chloephaga melanoptera";0,0010600139411239;5,00313182767339e-39
"Chloephaga picta";0,000693294178886494;4,07861987259037e-23
"Chloephaga hybrida";0,000693294178886494;8,15723974518074e-23
"Chloephaga poliocephala";0,000121430967291621;0
"Chloephaga rubidiceps";0,000693294178886494;1,63144794903615e-22
"Cyanochen cyanoptera";0,000693294178886494;3,2628958980723e-22
"Hymenolaimus malacorhynchos";0,00148951790743838;5,80185347932433e-23
"Merganetta armata";0,010265660385573;0,00147847103015926
"Tachyeres pteneres";0,00272452438005378;2,1059374417188e-29
"Tachyeres leucocephalus";0,00272452438005378;2,1059374417188e-29
"Tachyeres brachypterus";0,00267391630260218;1,32763468943185e-17
"Tachyeres patachonicus";0,00267391630260218;2,65526937886371e-17
"Pteronetta hartlaubii";0,00148951790743838;1,16037069586487e-22
"Cairina moschata";0,0010600139411239;1,00062636553468e-38
"Cairina scutulata";0,0127084844487441;0,0229599540410637
"Aix sponsa";0,00235254371181596;2,05416308092332e-11
"Aix galericulata";0,00148951790743838;2,32074139172973e-22
"Lophonetta specularioides";0,00148951790743838;4,64148278345946e-22
"Nettapus pulchellus";0,00148951790743838;9,28296556691892e-22
"Nettapus coromandelianus";0,00148951790743838;1,85659311338378e-21
"Nettapus auritus";0,0064907298532538;3,56822370433453e-06
"Callonetta leucophrys";0,00148951790743838;3,71318622676757e-21
"Chenonetta jubata";0,000693294178886494;6,52579179614459e-22
"Amazonetta brasiliensis";0,000693294178886494;1,30515835922892e-21
"Salvadorina waigiuensis";0,0064907298532538;3,56822370433453e-06
"Speculanas specularis";0,00342150521065227;1,40414283548815e-06
"Anas capensis";0,00465255974441694;9,7104824071516e-06
"Anas strepera";0,00235254371181596;4,10832616184665e-11
"Anas falcata";0,00342150521065227;1,40414283548815e-06
"Anas penelope";0,0010600139411239;2,00125273106935e-38
"Anas americana";0,0010600139411239;4,00250546213871e-38
"Anas sibilatrix";0,001639862093738;2,40212318121958e-09
