;Rb_median;AV_median;FV_median;NNmed
Crocidura_latona;0,013356183;0,680928432;0,680813235;0,023859879
Crocidura_zaphiri;0,013356154;0,680928432;0,680813235;0,022919282
Crocidura_caliginea;0,013360612;0,680929193;0,680813996;0,075194995
Crocidura_hispida;0,013359787;0,680966703;0,680851499;0,086011438
Crocidura_voi;0,013359787;0,680963966;0,680848763;0,077095451
Crocidura_tansaniana;0,013359842;0,680967653;0,68085245;0,062965601
Crocidura_gmelini;0,013324964;0,678307782;0,678193029;0,070956242
Crocidura_cyanea;0,013323144;0,678284306;0,678169556;0,065982319
Crocidura_wimmeri;0,013321799;0,678267712;0,678152965;0,035001267
Crocidura_baluensis;0,013321165;0,678268794;0,678154047;0,021377023
Crocidura_poensis;0,01332114;0,678279815;0,678165066;0,040083558
Crocidura_buettikoferi;0,013321067;0,678194697;0,678079962;0,030629105
Crocidura_kivuana;0,01332108;0,678197149;0,678082415;0,023027196
Crocidura_theresae;0,01332113;0,678196808;0,678082073;0,021376396
Crocidura_tenuis;0,013320988;0,678201813;0,678087077;0,022406438
Crocidura_batesi;0,013320741;0,678219133;0,678104395;0,027081455
Crocidura_floweri;0,013320431;0,678189328;0,678074595;0,05930243
Crocidura_grandiceps;0,013320409;0,678166972;0,678052242;0,033809201
Crocidura_hildegardeae;0,013320409;0,678165236;0,678050507;0,023853497
Crocidura_eisentrauti;0,013320475;0,678164794;0,678050064;0,02033837
Crocidura_vosmaeri;0,013320568;0,67816726;0,67805253;0,025336995
Crocidura_religiosa;0,013320799;0,678178285;0,678063553;0,024649825
Crocidura_attila;0,013320847;0,678207144;0,678092408;0,026137364
Crocidura_telfordi;0,013321306;0,678210538;0,678095801;0,028413184
Crocidura_dhofarensis;0,013321306;0,678224901;0,678110162;0,025250416
Crocidura_maxi;0,013320374;0,678219108;0,67810437;0,022178967
Crocidura_nicobarica;0,013320368;0,678219827;0,678105088;0,024875271
Crocidura_silacea;0,013320187;0,67824152;0,678126778;0,022623504
Crocidura_orii;0,01332021;0,678229979;0,678115239;0,021494227
Crocidura_phaeura;0,013320146;0,677649348;0,677534706;0,02469801
Crocidura_mariquensis;0,013320138;0,677611707;0,677497071;0,077023711
Crocidura_allex;0,013320154;0,677598683;0,67748405;0,029549494
Crocidura_ultima;0,013320379;0,677599729;0,677485095;0,026141069
Crocidura_fumosa;0,013320851;0,677611814;0,677497178;0,062711238
Crocidura_dolichura;0,013320874;0,677609151;0,677494516;0,053428926
Crocidura_arispa;0,013320854;0,677026178;0,676911642;0,022981404
Crocidura_picea;0,013320829;0,67702535;0,676910813;0,020474036
Crocidura_macowi;0,013321051;0,677028458;0,676913921;0,022870253
Crocidura_ludia;0,013326884;0,677137237;0,677022681;0,026707488
Crocidura_nana;0,013326953;0,677009262;0,676894728;0,029001768
Crocidura_greenwoodi;0,01332807;0,677008066;0,676893532;0,022804558
Crocidura_desperata;0,013328014;0,677009676;0,676895142;0,025457823
Crocidura_stenocephala;0,01332804;0,676891337;0,676776823;0,031273184
Crocidura_littoralis;0,013328627;0,676882611;0,676768098;0,021715896
Crocidura_maurisca;0,013327655;0,676795768;0,67668127;0,019732461
Crocidura_tarella;0,01332804;0,676795768;0,67668127;0,017769843
Crocidura_lusitania;0,013327839;0,676797802;0,676683304;0,018616464
Crocidura_foxi;0,013326543;0,676719819;0,676605334;0,026095688
Crocidura_crossei;0,013326486;0,676715257;0,676600773;0,028890603
Crocidura_jouvenetae;0,013326684;0,676719239;0,676604755;0,028040218
Crocidura_cinderella;0,013323984;0,676735381;0,676620894;0,022160801
Crocidura_lanosa;0,013323747;0,676730767;0,67661628;0,02022277
Crocidura_fuscomurina;0,013323754;0,676737881;0,676623393;0,0205178
Paracrocidura_graueri;0,013323639;0,67670096;0,676586479;0,020779472
Paracrocidura_schoutedeni;0,013323567;0,67670096;0,676586479;0,02085684
Paracrocidura_maxima;0,013323567;0,676703306;0,676588824;0,025265907
Crocidura_grandis;0,013323627;0,676697909;0,676583428;0,023714275
