"";"ED_median";"ES_median"
"Crocidura_ludia";4,09863233310669;3,57832350931646
"Crocidura_nana";4,41305982040537;3,87153947935231
"Crocidura_greenwoodi";4,00739127101706;3,3697144410049
"Crocidura_desperata";4,35327862583728;3,50368120883325
"Crocidura_stenocephala";4,34685758918748;3,73626349791567
"Crocidura_littoralis";3,92370435520898;3,51649920352232
"Crocidura_maurisca";3,678541310852;2,7867848509535
"Crocidura_tarella";3,6973815562799;2,80109354345713
"Crocidura_lusitania";3,75649631538504;3,01997991048265
"Crocidura_foxi";4,00573987837337;3,2564458689216
"Crocidura_crossei";4,07206700597998;3,30359200567152
"Crocidura_jouvenetae";3,81685053103621;3,17994848023512
"Crocidura_cinderella";3,59725472715437;2,81598670908478
"Crocidura_lanosa";3,54908335889302;2,73689014913461
"Crocidura_fuscomurina";3,80305350402786;3,13478258205446
"Paracrocidura_graueri";3,63797800900373;3,13478258205446
"Paracrocidura_schoutedeni";3,64272084809947;3,07971215967487
"Paracrocidura_maxima";3,79449368343461;3,42576523372698
"Crocidura_grandis";3,84479472331605;3,32717997491236
"Crocidura_lamottei";3,94399676878495;3,20499148648452
"Crocidura_parvipes";3,75805000784814;3,15872742686626
"Crocidura_katinka";3,7479688942234;2,98925187054902
"Crocidura_vorax";3,77565801165948;3,08533644049672
"Crocidura_macarthuri";3,88193978889429;2,98171658190039
"Crocidura_harenna";3,72890640958719;3,03854746515597
"Crocidura_flavescens";3,84797968429674;3,26798277041877
"Crocidura_hirta";3,66266194502594;3,14141368632314
"Crocidura_fulvastra";3,76510834689822;3,02983351638095
"Crocidura_viaria";3,69986841968432;2,93399287131095
"Crocidura_mutesae";3,50040647561463;2,90015436032594
"Crocidura_goliath";3,52169958381693;3,07674433872848
"Crocidura_olivieri";3,58896069139067;3,35502732755649
"Crocidura_elgonius";3,8756159266446;3,23778726140163
"Crocidura_crenata";3,7001985910468;3,06660779843126
"Crocidura_grassei";3,44501061018553;2,56125141906509
"Crocidura_pitmani";3,48308347255836;2,65147302754655
"Crocidura_muricauda";3,61425749698103;2,84549234323076
"Crocidura_hilliana";3,78439065898891;3,30153097801463
"Crocidura_douceti";3,63771086624857;3,02819599859721
"Crocidura_nimbasilvanus";3,44237131813969;2,74045459322545
"Crocidura_nimbae";3,49544141214618;2,92075367631209
"Crocidura_annamitensis";3,99753825283905;3,40321431349056
"Crocidura_gracilipes";4,05757310294666;3,20701216536261
"Crocidura_selina";4,09052623106249;3,24288000287627
"Crocidura_nanilla";3,76060449471107;3,10690630615963
"Crocidura_munissii";3,85178077015322;3,17262844925541
"Crocidura_mdumai";3,86866325329244;3,49563155987738
"Crocidura_serezkyensis";3,93226065827668;3,17824065236595
"Crocidura_montis";4,00837700642495;3,44205459230809
"Crocidura_macmillani";3,86046258034337;3,28332384058954
"Crocidura_luna";3,8146370455118;3,05990576733047
"Crocidura_monax";3,904402449375;3,28727320645082
"Crocidura_newmarki";4,16548525066968;3,61157669657971
"Crocidura_denti";4,08375360226657;3,31506644590692
