"";"dietori";"activityori";"massori";"meanori"
"Rattus morotaiensis";0,684632503975879;0,50395866020105;0,0129453696201906;0,400512177932373
"Rattus osgoodi";0,684632503975879;0,50395866020105;0,0127532198482937;0,400448128008408
"Rattus tiomanicus";0,684632503975879;0,50395866020105;0,0128712865992711;0,400487483592067
"Rattus xanthurus";0,684632503975879;0,50395866020105;0,01367983890713;0,40075700102802
"Rattus villosissimus";0,684632503975879;0,50395866020105;0,0128869564306669;0,400492706869199
"Rattus rattus";0,684632503975879;0,50395866020105;0,0133175127369389;0,400636225637956
"Rattus verecundus";0,632671698617683;0,50395866020105;0,0127635214876489;0,383131293435461
"Rattus vandeuseni";0,632671698617683;0,50395866020105;0,012730614701939;0,383120324506891
"Rattus pelurus";0,684632503975879;0,50395866020105;0,0130430175185001;0,40054472723181
"Rattus satarae";0,684632503975879;0,50395866020105;0,0129525386337468;0,400514567603559
"Rattus pococki";0,684632503975879;0,50395866020105;0,0129525386337468;0,400514567603559
"Rattus mordax";0,684632503975879;0,50395866020105;0,0133216935400399;0,40063761923899
"Rattus timorensis";0,684632503975879;0,50395866020105;0,012998152151196;0,400529772109375
"Rattus tawitawiensis";0,684632503975879;0,50395866020105;0,0130875928270064;0,400559585667978
"Rattus tanezumi";0,684632503975879;0,50395866020105;0,0128869564306669;0,400492706869199
"Rattus stoicus";0,684632503975879;0,50395866020105;0,0137804069091418;0,400790523695357
"Rattus steini";0,684632503975879;0,50395866020105;0,0129746178706915;0,400521927349207
"Rattus sordidus";0,684632503975879;0,50395866020105;0,0129856610369915;0,40052560840464
"Rattus tunneyi";0,684632503975879;0,50395866020105;0,0128493078451458;0,400480157340692
"Rattus montanus";0,684632503975879;0,50395866020105;0,0128948934363179;0,400495352537749
