"";"Rb_median";"AV_median";"FV_median";"NNmed"
"Clangula_hyemalis";0,0110949769091754;0,972521802279328;0,972424481974888;0,0229493251798623
"Polysticta_stelleri";0,011094968655418;0,972517256075332;0,97241993622583;0,0303116505585252
"Somateria_mollissima";0,0110949927526343;0,972511461340661;0,972414142071038;0,0326891833887064
"Somateria_spectabilis";0,0110957664274259;0,972513361759711;0,972416042299913;0,0248425767646813
"Somateria_fischeri";0,0110954292957151;0,972513403427725;0,972416083963757;0,0223161859519284
"Histrionicus_histrionicus";0,0110953475500888;0,972604626687852;0,972507298095169;0,0319539800208306
"Salvadorina_waigiuensis";0,0110953475500888;0,972666508237834;0,97256917345266;0,0258876999420984
"Cyanochen_cyanoptera";0,0110951400033727;0,972665196376769;0,972567861722873;0,0309557224707305
"Pteronetta_hartlaubii";0,0110951877087552;0,972657181627153;0,972559847775295;0,0337999206262255
"Marmaronetta_angustirostris";0,0110953084333461;0,972657181627153;0,972559847775295;0,0272416387972556
"Netta_peposaca";0,0110963381188286;0,97269865013122;0,972601312129606;0,0295745512873153
"Netta_erythrophthalma";0,0110963052456582;0,97269865013122;0,972601312129606;0,0343954729974972
"Netta_rufina";0,0110961768218303;0,972778382422677;0,972681036442249;0,0331248611930516
"Aythya_baeri";0,0110963114327067;0,972759222451636;0,972661878388547;0,0282746926358893
"Aythya_fuligula";0,0110963114327067;0,972741492601188;0,972644150312326;0,0282275987465455
"Aythya_novaeseelandiae";0,0110965884579388;0,972741492601188;0,972644150312326;0,0282341485589971
"Aythya_affinis";0,0110965864387672;0,972734028535275;0,972636686993342;0,0306507389807552
"Aythya_marila";0,011096586569053;0,972704798271471;0,972607459654612;0,0309872794263216
"Aythya_innotata";0,0110968008640834;0,972704798271471;0,972607459654612;0,0278964398391966
"Aythya_valisineria";0,0110970135648117;0,972704675098844;0,97260733649431;0,0341921119275561
"Aythya_ferina";0,0110973209192397;0,972703955106147;0,972606616573664;0,039405052474812
"Aythya_americana";0,0111001055377334;0,972703955106147;0,972606616573664;0,0429431928541656
"Aythya_collaris";0,0111023459391122;0,972762084131173;0,972664739781716;0,0447010530728038
"Aythya_nyroca";0,011102283339819;0,972795573317143;0,97269822561642;0,0308675780920649
"Aythya_australis";0,0111022891823557;0,972795573317143;0,97269822561642;0,0307867929154244
"Cairina_scutulata";0,0111014356805082;0,972797107889924;0,972699760035638;0,0529751327725232
"Callonetta_leucophrys";0,0111007547937105;0,972776174605075;0,972678828845583;0,0467231996080601
"Chenonetta_jubata";0,0111005939219486;0,972793867998983;0,972696520468913;0,0624253790777671
"Merganetta_armata";0,0111004127910255;0,972795553403339;0,97269820570461;0,0628658008997691
"Hymenolaimus_malacorhynchos";0,0110997563708432;0,972795553403339;0,97269820570461;0,0561820563133966
"Anas_gracilis";0,0110999991407188;0,973250889783251;0,973153496518988;0,0585281518241137
"Anas_castanea";0,0111000924797633;0,973156156993118;0,973058773208769;0,0500620813991781
"Anas_bernieri";0,0110996932606378;0,973157562417275;0,973060178492285;0,055304742515844
"Anas_eatoni";0,0110996064368265;0,973094499854041;0,972997122239726;0,0562790394906853
"Anas_nesiotis";0,0110996064368265;0,973094499854041;0,972997122239726;0,0470312642687682
"Anas_chlorotis";0,0110996816535577;0,973058439151762;0,972961065146043;0,0497094260421997
"Anas_aucklandica";0,0110993238250435;0,97306304872831;0,97296567426131;0,033371344734595
"Anas_capensis";0,0110993051500715;0,972971411523693;0,972874046226833;0,0281049314258326
"Anas_gibberifrons";0,0110993118534721;0,972945292071818;0,972847929388733;0,0342333874291059
"Anas_erythrorhyncha";0,0110993191763288;0,972945333496045;0,972847970808814;0,0333043108159954
"Anas_georgica";0,0110995944970641;0,972945027270839;0,972847664614253;0,0285269986970998
"Anas_acuta";0,0110995973721453;0,972940283028258;0,972842920846428;0,0330647132625446
"Anas_andium";0,0110995230856872;0,972948779038376;0,972851416006349;0,0338061547646505
"Anas_bahamensis";0,0110995405080288;0,972965242003063;0,972867877323587;0,0230596463185367
"Anas_flavirostris";0,0111003094338335;0,973001329172484;0,972903960881763;0,0326099714798682
"Anas_crecca";0,0111002533420666;0,972997303117182;0,972899935229349;0,0263763244650149
"Anas_sparsa";0,0110998582479184;0,972997303117182;0,972899935229349;0,0249333935011409
"Anas_melleri";0,0110992195878052;0,972976544494997;0,97287917868448;0,0265578431319953
"Anas_undulata";0,0110992037756008;0,972976544494997;0,97287917868448;0,0299694995843253
"Anas_rubripes";0,0110991881611266;0,972981040058879;0,97288367379849;0,0315198266938497
"Anas_fulvigula";0,0110991841401721;0,972999198086906;0,972901830009443;0,0354948086128431
"Anas_laysanensis";0,0110992430217955;0,973009846861694;0,972912477718608;0,0348589365969268
"Anas_luzonica";0,011099430470669;0,973105737933359;0,973008359194448;0,0287696771152937
