"";"parsed";"mdd_itis"
"3444";"Raphicerus campestris";"Raphicerus campestris"
"3445";"Redunca arundinum";"Redunca arundinum"
"3446";"Redunca fulvorufula";"Redunca fulvorufula"
"3447";"Redunca redunca";"Redunca redunca"
"3448";"Saiga tatarica";"Saiga tatarica"
"3449";"Sylvicapra grimmia";"Sylvicapra grimmia"
"3450";"Syncerus caffer";"Syncerus caffer"
"3451";"Tetracerus quadricornis";"Tetracerus quadricornis"
"3452";"Damaliscus pygargus";"Damaliscus pygargus"
"3453";"Tragelaphus derbianus";"Tragelaphus derbianus"
"3454";"Nanger soemmerringii";"Nanger soemmerringii"
"3455";"Balaena mysticetus";"Balaena mysticetus"
"3456";"Balaenoptera acutorostrata";"Balaenoptera acutorostrata"
"3457";"Balaenoptera edeni";"Balaenoptera edeni"
"3458";"Balaenoptera physalus";"Balaenoptera physalus"
"3459";"Balaenoptera bonaerensis";"Balaenoptera bonaerensis"
"3460";"Berardius bairdii";"Berardius bairdii"
"3461";"Caperea marginata";"Caperea marginata"
"3462";"Cephalorhynchus eutropia";"Cephalorhynchus eutropia"
"3463";"Cephalorhynchus heavisidii";"Cephalorhynchus heavisidii"
"3464";"Delphinapterus leucas";"Delphinapterus leucas"
"3465";"Eschrichtius robustus";"Eschrichtius robustus"
"3466";"Eubalaena australis";"Eubalaena australis"
"3467";"Feresa attenuata";"Feresa attenuata"
"3468";"Globicephala macrorhynchus";"Globicephala macrorhynchus"
"3469";"Globicephala melas";"Globicephala melas"
"3470";"Grampus griseus";"Grampus griseus"
"3471";"Hyperoodon ampullatus";"Hyperoodon ampullatus"
"3472";"Hyperoodon planifrons";"Hyperoodon planifrons"
"3473";"Inia geoffrensis";"Inia geoffrensis"
"3474";"Kogia breviceps";"Kogia breviceps"
"3475";"Kogia sima";"Kogia sima"
"3476";"Lagenodelphis hosei";"Lagenodelphis hosei"
"3477";"Lagenorhynchus albirostris";"Lagenorhynchus albirostris"
"3478";"Lagenorhynchus obliquidens";"Lagenorhynchus obliquidens"
"3479";"Lipotes vexillifer";"Lipotes vexillifer"
"3480";"Lissodelphis borealis";"Lissodelphis borealis"
"3481";"Lissodelphis peronii";"Lissodelphis peronii"
"3482";"Megaptera novaeangliae";"Megaptera novaeangliae"
"3483";"Mesoplodon bidens";"Mesoplodon bidens"
"3484";"Mesoplodon bowdoini";"Mesoplodon bowdoini"
"3485";"Mesoplodon carlhubbsi";"Mesoplodon carlhubbsi"
"3486";"Mesoplodon densirostris";"Mesoplodon densirostris"
"3487";"Mesoplodon europaeus";"Mesoplodon europaeus"
"3488";"Mesoplodon grayi";"Mesoplodon grayi"
"3489";"Mesoplodon hectori";"Mesoplodon hectori"
"3490";"Mesoplodon layardii";"Mesoplodon layardii"
"3491";"Mesoplodon mirus";"Mesoplodon mirus"
"3492";"Mesoplodon peruvianus";"Mesoplodon peruvianus"
"3493";"Mesoplodon stejnegeri";"Mesoplodon stejnegeri"
"3494";"Monodon monoceros";"Monodon monoceros"
"3495";"Orcinus orca";"Orcinus orca"
"3496";"Peponocephala electra";"Peponocephala electra"
"3497";"Phocoena phocoena";"Phocoena phocoena"
"3498";"Phocoena spinipinnis";"Phocoena spinipinnis"
"3499";"Phocoenoides dalli";"Phocoenoides dalli"
"3500";"Stenella attenuata";"Stenella attenuata"
"3501";"Stenella clymene";"Stenella clymene"
"3502";"Stenella coeruleoalba";"Stenella coeruleoalba"
"3503";"Stenella frontalis";"Stenella frontalis"
"3504";"Tasmacetus shepherdi";"Tasmacetus shepherdi"
"3505";"Ziphius cavirostris";"Ziphius cavirostris"
"3506";"Indopacetus pacificus";"Indopacetus pacificus"
"3507";"Eubalaena japonica";"Eubalaena japonica"
"3508";"Tursiops aduncus";"Tursiops aduncus"
"3509";"Phocoena dioptrica";"Phocoena dioptrica"
"3510";"Neophocaena asiaeorientalis";"Neophocaena asiaeorientalis"
"3511";"Platanista gangetica";"Platanista gangetica"
"3512";"Platanista minor";"Platanista minor"
"3513";"Mesoplodon perrini";"Mesoplodon perrini"
"3514";"Mesoplodon traversii";"Mesoplodon traversii"
"3515";"Sotalia fluviatilis";"Sotalia fluviatilis"
"3516";"Neophocaena phocaenoides";"Neophocaena phocaenoides"
"3517";"Cricetomys gambianus";"Cricetomys gambianus"
"3518";"Cryptomys hottentotus";"Cryptomys hottentotus"
"3519";"Otomys irroratus";"Otomys irroratus"
"3520";"Myosorex cafer";"Myosorex cafer"
"3521";"Aethomys ineptus";"Aethomys ineptus"
"3522";"Felis margarita";"Felis margarita"
"3523";"Herpailurus yagouaroundi";"Herpailurus yagouaroundi"
"3524";"Leopardus tigrinus";"Leopardus tigrinus"
"3525";"Leopardus wiedii";"Leopardus wiedii"
"3526";"Lynx rufus";"Lynx rufus"
"3527";"Leopardus geoffroyi";"Leopardus geoffroyi"
"3528";"Leopardus guigna";"Leopardus guigna"
"3529";"Leopardus jacobita";"Leopardus jacobita"
"3530";"Prionailurus planiceps";"Prionailurus planiceps"
"3531";"Prionailurus rubiginosus";"Prionailurus rubiginosus"
"3532";"Prionailurus viverrinus";"Prionailurus viverrinus"
"3533";"Caracal aurata";"Caracal aurata"
"3534";"Panthera uncia";"Panthera uncia"
"3535";"Bubalus mindorensis";"Bubalus mindorensis"
"3536";"Okapia johnstoni";"Okapia johnstoni"
"3537";"Marmosops pakaraimae";"Marmosops pakaraimae"
"3538";"Thylamys pallidior";"Thylamys pallidior"
"3539";"Monodelphis peruviana";"Monodelphis peruviana"
"3540";"Leopardus guttulus";"Leopardus guttulus"
"3541";"Crocidura mindorus";"Crocidura mindorus"
"3542";"Muntiacus muntjak";"Muntiacus muntjak"
"3543";"Vulpes lagopus";"Vulpes lagopus"
"3544";"Vulpes velox";"Vulpes velox"
"3545";"Vulpes corsac";"Vulpes corsac"
"3546";"Cervus albirostris";"Cervus albirostris"
"3547";"Moschus chrysogaster";"Moschus chrysogaster"
"3548";"Moschus fuscus";"Moschus fuscus"
"3549";"Moschus moschiferus";"Moschus moschiferus"
"3550";"Moschus leucogaster";"Moschus leucogaster"
"3551";"Tragulus nigricans";"Tragulus nigricans"
"3552";"Tragulus javanicus";"Tragulus javanicus"
"3553";"Tragulus napu";"Tragulus napu"
"3554";"Tragulus kanchil";"Tragulus kanchil"
"3555";"Tragulus versicolor";"Tragulus versicolor"
"3556";"Tragulus williamsoni";"Tragulus williamsoni"
"3557";"Moschiola indica";"Moschiola indica"
"3558";"Moschus anhuiensis";"Moschus anhuiensis"
"3559";"Moschus cupreus";"Moschus cupreus"
"3560";"Moschiola kathygre";"Moschiola kathygre"
"3561";"Vulpes macrotis";"Vulpes macrotis"
"3562";"Pseudois nayaur";"Pseudois nayaur"
"3563";"Rhinolophus cohenae";"Rhinolophus cohenae"
"3564";"Rhinolophus mabuensis";"Rhinolophus mabuensis"
"3565";"Rhinolophus smithersi";"Rhinolophus smithersi"
"3566";"Rhinolophus mossambicus";"Rhinolophus mossambicus"
"3567";"Neoromicia robertsi";"Neoromicia robertsi"
"3568";"Neoromicia roseveari";"Neoromicia roseveari"
"3569";"Chaerephon atsinanana";"Chaerephon atsinanana"
"3570";"Mops bakarii";"Mops bakarii"
"3571";"Rhinolophus damarensis";"Rhinolophus damarensis"
"3572";"Melogale cucphuongensis";"Melogale cucphuongensis"
"3573";"Arctonyx hoevenii";"Arctonyx hoevenii"
"3574";"Arctonyx albogularis";"Arctonyx albogularis"
"3575";"Pithecia napensis";"Pithecia napensis"
"3576";"Pithecia isabela";"Pithecia isabela"
"3577";"Bettongia anhydra";"Bettongia anhydra"
"3578";"Mormopterus francoismoutoui";"Mormopterus francoismoutoui"
"3579";"Cuon alpinus";"Cuon alpinus"
"3580";"Catagonus wagneri";"Catagonus wagneri"
"3581";"Axis kuhlii";"Axis kuhlii"
"3582";"Moschiola meminna";"Moschiola meminna"
"3583";"Conilurus capricornensis";"Conilurus capricornensis"
"3584";"Pseudomys auritus";"Pseudomys auritus"
"3585";"Myotis nyctor";"Myotis nyctor"
"3586";"Dryomys laniger";"Dryomys laniger"
