"";"parsed";"mdd_itis"
"4892";"Melomys fulgens";"Melomys fulgens"
"4893";"Calomys expulsus";"Calomys expulsus"
"4894";"Crocidura musseri";"Crocidura musseri"
"4895";"Lemmus trimucronatus";"Lemmus trimucronatus"
"4896";"Melomys caurinus";"Melomys caurinus"
"4897";"Rhynchomys banahao";"Rhynchomys banahao"
"4898";"Nectomys apicalis";"Nectomys apicalis"
"4899";"Melomys lutillus";"Melomys lutillus"
"4900";"Neotoma leucodon";"Neotoma leucodon"
"4901";"Pithecheirops otion";"Pithecheirops otion"
"4902";"Geomys breviceps";"Geomys breviceps"
"4903";"Monodelphis handleyi";"Monodelphis handleyi"
"4904";"Oecomys concolor";"Oecomys concolor"
"4905";"Rhipidomys nitela";"Rhipidomys nitela"
"4906";"Scarturus elater";"Scarturus elater"
"4907";"Heteromys desmarestianus";"Heteromys desmarestianus"
"4908";"Praomys tullbergi";"Praomys tullbergi"
"4909";"Pseudohydromys murinus";"Pseudohydromys murinus"
"4910";"Pseudohydromys occidentalis";"Pseudohydromys occidentalis"
"4911";"Eligmodontia typus";"Eligmodontia typus"
"4912";"Pseudomys australis";"Pseudomys australis"
"4913";"Dipodomys merriami";"Dipodomys merriami"
"4914";"Thomasomys daphne";"Thomasomys daphne"
"4915";"Acerodon humilis";"Acerodon humilis"
"4916";"Atlantoxerus getulus";"Atlantoxerus getulus"
"4917";"Ctenodactylus vali";"Ctenodactylus vali"
"4918";"Gerbillus simoni";"Gerbillus simoni"
"4919";"Graphiurus ocularis";"Graphiurus ocularis"
"4920";"Jaculus orientalis";"Jaculus orientalis"
"4921";"Lemniscomys barbarus";"Lemniscomys barbarus"
"4922";"Microtus guentheri";"Microtus guentheri"
"4923";"Mus spretus";"Mus spretus"
"4924";"Otomys unisulcatus";"Otomys unisulcatus"
"4925";"Crocidura whitakeri";"Crocidura whitakeri"
"4926";"Myosorex varius";"Myosorex varius"
"4927";"Meriones shawi";"Meriones shawii"
"4928";"Meriones grandis";"Meriones grandis"
"4929";"Allocebus trichotis";"Allocebus trichotis"
"4930";"Avahi laniger";"Avahi laniger"
"4931";"Daubentonia madagascariensis";"Daubentonia madagascariensis"
"4932";"Eulemur mongoz";"Eulemur mongoz"
"4933";"Eulemur cinereiceps";"Eulemur cinereiceps"
"4934";"Eulemur collaris";"Eulemur collaris"
"4935";"Eulemur fulvus";"Eulemur fulvus"
"4936";"Eulemur rufus";"Eulemur rufus"
"4937";"Eulemur flavifrons";"Eulemur flavifrons"
"4938";"Hapalemur aureus";"Hapalemur aureus"
"4939";"Hapalemur griseus";"Hapalemur griseus"
"4940";"Prolemur simus";"Prolemur simus"
"4941";"Hapalemur occidentalis";"Hapalemur occidentalis"
"4942";"Indri indri";"Indri indri"
"4943";"Lemur catta";"Lemur catta"
"4944";"Lepilemur edwardsi";"Lepilemur edwardsi"
"4945";"Lepilemur leucopus";"Lepilemur leucopus"
"4946";"Lepilemur microdon";"Lepilemur microdon"
"4947";"Lepilemur ruficaudatus";"Lepilemur ruficaudatus"
"4948";"Lepilemur septentrionalis";"Lepilemur septentrionalis"
"4949";"Mirza coquereli";"Mirza coquereli"
"4950";"Phaner furcifer";"Phaner furcifer"
"4951";"Phaner parienti";"Phaner parienti"
"4952";"Phaner pallescens";"Phaner pallescens"
"4953";"Phaner electromontis";"Phaner electromontis"
"4954";"Propithecus tattersalli";"Propithecus tattersalli"
"4955";"Propithecus verreauxi";"Propithecus verreauxi"
"4956";"Propithecus coquereli";"Propithecus coquereli"
"4957";"Propithecus coronatus";"Propithecus coronatus"
"4958";"Propithecus deckenii";"Propithecus deckenii"
"4959";"Propithecus diadema";"Propithecus diadema"
"4960";"Propithecus edwardsi";"Propithecus edwardsi"
"4961";"Propithecus candidus";"Propithecus candidus"
"4962";"Propithecus perrieri";"Propithecus perrieri"
"4963";"Varecia variegata";"Varecia variegata"
"4964";"Varecia rubra";"Varecia rubra"
"4965";"Microcebus ravelobensis";"Microcebus ravelobensis"
"4966";"Gorilla beringei";"Gorilla beringei"
"4967";"Aotus nancymaae";"Aotus nancymai"
"4968";"Microcebus tavaratra";"Microcebus tavaratra"
"4969";"Microcebus sambiranensis";"Microcebus sambiranensis"
"4970";"Cheirogaleus sibreei";"Cheirogaleus sibreei"
"4971";"Avahi unicolor";"Avahi unicolor"
"4972";"Microcebus mamiratra";"Microcebus mamiratra"
"4973";"Cheirogaleus crossleyi";"Cheirogaleus crossleyi"
"4974";"Lepilemur randrianasoloi";"Lepilemur randrianasoloi"
"4975";"Lepilemur fleuretae";"Lepilemur fleuretae"
"4976";"Eulemur rufifrons";"Eulemur rufifrons"
"4977";"Avahi peyrierasi";"Avahi peyrierasi"
"4978";"Lepilemur wrightae";"Lepilemur wrightae"
"4979";"Avahi cleesei";"Avahi cleesei"
"4980";"Avahi meridionalis";"Avahi meridionalis"
"4981";"Lepilemur aeeclis";"Lepilemur aeeclis"
"4982";"Hapalemur meridionalis";"Hapalemur meridionalis"
"4983";"Avahi ramanantsoavanai";"Avahi ramanantsoavanai"
"4984";"Lepilemur jamesorum";"Lepilemur jamesorum"
"4985";"Microcebus bongolavensis";"Microcebus bongolavensis"
"4986";"Lepilemur milanoii";"Lepilemur milanoii"
"4987";"Microcebus griseorufus";"Microcebus griseorufus"
"4988";"Lepilemur sahamalaza";"Lepilemur sahamalaza"
"4989";"Lepilemur betsileo";"Lepilemur betsileo"
"4990";"Lepilemur petteri";"Lepilemur petteri"
"4991";"Lepilemur seali";"Lepilemur seali"
"4992";"Lepilemur tymerlachsoni";"Lepilemur tymerlachsoni"
"4993";"Lepilemur ankaranensis";"Lepilemur ankaranensis"
"4994";"Microcebus simmonsi";"Microcebus simmonsi"
"4995";"Lepilemur hubbardorum";"Lepilemur hubbardorum"
"4996";"Avahi betsileo";"Avahi betsileo"
"4997";"Lepilemur grewcockorum";"Lepilemur grewcockorum"
"4998";"Lepilemur otto";"Lepilemur otto"
"4999";"Microcebus margotmarshae";"Microcebus margotmarshae"
"5000";"Microcebus arnholdi";"Microcebus arnholdi"
"5001";"Microcebus macarthurii";"Microcebus macarthurii"
"5002";"Lepilemur hollandorum";"Lepilemur hollandorum"
"5003";"Lepilemur scottorum";"Lepilemur scottorum"
"5004";"Avahi mooreorum";"Avahi mooreorum"
"5005";"Cheirogaleus medius";"Cheirogaleus medius"
"5006";"Cheirogaleus major";"Cheirogaleus major"
"5007";"Microcebus rufus";"Microcebus rufus"
"5008";"Microtus irani";"Microtus irani"
"5009";"Thomasomys eleusis";"Thomasomys eleusis"
"5010";"Thomasomys ladewi";"Thomasomys ladewi"
"5011";"Thomasomys niveipes";"Thomasomys niveipes"
"5012";"Thomasomys notatus";"Thomasomys notatus"
"5013";"Thomasomys oreas";"Thomasomys oreas"
"5014";"Thomasomys taczanowskii";"Thomasomys taczanowskii"
"5015";"Rhyncholestes raphanurus";"Rhyncholestes raphanurus"
"5016";"Urocitellus mollis";"Urocitellus mollis"
"5017";"Monachus monachus";"Monachus monachus"
"5018";"Sorex preblei";"Sorex preblei"
"5019";"Chinchilla lanigera";"Chinchilla lanigera"
"5020";"Canis lupaster";"Canis lupaster"
"5021";"Neotoma insularis";"Neotoma insularis"
"5022";"Niviventer rapit";"Niviventer rapit"
"5023";"Micromys minutus";"Micromys minutus"
"5024";"Acomys spinosissimus";"Acomys spinosissimus"
"5025";"Chaetophractus vellerosus";"Chaetophractus vellerosus"
"5026";"Microcebus danfossi";"Microcebus danfossi"
"5027";"Pongo tapanuliensis";"Pongo tapanuliensis"
"5028";"Nomascus annamensis";"Nomascus annamensis"
"5029";"Cervus hanglu";"Cervus hanglu"
"5030";"Batomys hamiguitan";"Batomys hamiguitan"
"5031";"Ursus arctos";"Ursus arctos"
"5032";"Lynx lynx";"Lynx lynx"
"5033";"Scapteromys tumidus";"Scapteromys tumidus"
"5034";"Myocastor coypus";"Myocastor coypus"
"5035";"Ailuropoda melanoleuca";"Ailuropoda melanoleuca"
"5036";"Marmota caligata";"Marmota caligata"
"5037";"Manis crassicaudata";"Manis crassicaudata"
"5038";"Smutsia gigantea";"Smutsia gigantea"
"5039";"Manis javanica";"Manis javanica"
"5040";"Smutsia temminckii";"Smutsia temminckii"
"5041";"Phataginus tetradactyla";"Phataginus tetradactyla"
"5042";"Phataginus tricuspis";"Phataginus tricuspis"
"5043";"Manis culionensis";"Manis culionensis"
"5044";"Orcaella brevirostris";"Orcaella brevirostris"
"5045";"Otomops martiensseni";"Otomops martiensseni"
"5046";"Panthera onca";"Panthera onca"
"5047";"Pontoporia blainvillei";"Pontoporia blainvillei"
"5048";"Sousa teuszii";"Sousa teuszii"
"5049";"Tremarctos ornatus";"Tremarctos ornatus"
"5050";"Sus barbatus";"Sus barbatus"
"5051";"Orcaella heinsohni";"Orcaella heinsohni"
"5052";"Hylomyscus denniae";"Hylomyscus denniae"
"5053";"Hylomyscus stella";"Hylomyscus stella"
"5054";"Cryptotis meridensis";"Cryptotis meridensis"
"5055";"Cryptotis griseoventris";"Cryptotis griseoventris"
"5056";"Cryptotis goodwini";"Cryptotis goodwini"
"5057";"Sousa chinensis";"Sousa chinensis"
"5058";"Sicista subtilis";"Sicista subtilis"
"5059";"Chaetodipus arenarius";"Chaetodipus arenarius"
"5060";"Thomasomys cinereiventer";"Thomasomys cinereiventer"
"5061";"Thomasomys laniger";"Thomasomys laniger"
"5062";"Thomasomys popayanus";"Thomasomys popayanus"
"5063";"Crocidura obscurior";"Crocidura obscurior"
"5064";"Crocidura monax";"Crocidura monax"
"5065";"Tupaia glis";"Tupaia glis"
"5066";"Batomys granti";"Batomys grantii"
"5067";"Coccymys ruemmleri";"Coccymys ruemmleri"
"5068";"Crocidura usambarae";"Crocidura usambarae"
"5069";"Akodon dolores";"Akodon dolores"
"5070";"Brucepattersonius griserufescens";"Brucepattersonius griserufescens"
"5071";"Ctenomys frater";"Ctenomys frater"
"5072";"Oryzomys gorgasi";"Oryzomys gorgasi"
"5073";"Juscelinomys huanchacae";"Juscelinomys huanchacae"
"5074";"Oxymycterus paramensis";"Oxymycterus paramensis"
"5075";"Neotoma lepida";"Neotoma lepida"
"5076";"Neotoma bryanti";"Neotoma bryanti"
"5077";"Pongo abelii";"Pongo abelii"
"5078";"Helarctos malayanus";"Helarctos malayanus"
"5079";"Tupaia longipes";"Tupaia longipes"
"5080";"Crocidura attenuata";"Crocidura attenuata"
"5081";"Tupaia palawanensis";"Tupaia palawanensis"
"5082";"Pongo pygmaeus";"Pongo pygmaeus"
"5083";"Acinonyx jubatus";"Acinonyx jubatus"
"5084";"Cryptotis tamensis";"Cryptotis tamensis"
"5085";"Cryptotis thomasi";"Cryptotis thomasi"
"5086";"Plecturocebus urubambensis";"Plecturocebus urubambensis"
"5087";"Plecturocebus toppini";"Plecturocebus toppini"
"5088";"Mesoplodon ginkgodens";"Mesoplodon ginkgodens"
"5089";"Rattus arfakiensis";"Rattus arfakiensis"
"5090";"Pteralopex pulchra";"Pteralopex pulchra"
"5091";"Glossophaga leachii";"Glossophaga leachii"
"5092";"Cephalorhynchus commersonii";"Cephalorhynchus commersonii"
"5093";"Pan troglodytes";"Pan troglodytes"
"5094";"Balaenoptera borealis";"Balaenoptera borealis"
"5095";"Tupaia everetti";"Tupaia everetti"
"5096";"Lemniscomys striatus";"Lemniscomys striatus"
"5097";"Gerbillus nanus";"Gerbillus nanus"
"5098";"Gorilla gorilla";"Gorilla gorilla"
"5099";"Giraffa camelopardalis";"Giraffa camelopardalis"
"5100";"Microtus anatolicus";"Microtus anatolicus"
"5101";"Meriones sacramenti";"Meriones sacramenti"
"5102";"Cynomys mexicanus";"Cynomys mexicanus"
"5103";"Rhabdomys bechuanae";"Rhabdomys bechuanae"
"5104";"Rhabdomys dilectus";"Rhabdomys dilectus"
"5105";"Cervus canadensis";"Cervus canadensis"
"5106";"Cervus elaphus";"Cervus elaphus"
"5107";"Alcelaphus buselaphus";"Alcelaphus buselaphus"
"5108";"Peromyscus interparietalis";"Peromyscus interparietalis"
"5109";"Peromyscus eremicus";"Peromyscus eremicus"
"5110";"Peromyscus pseudocrinitus";"Peromyscus pseudocrinitus"
"5111";"Peromyscus slevini";"Peromyscus slevini"
"5112";"Sotalia guianensis";"Sotalia guianensis"
"5113";"Balaenoptera omurai";"Balaenoptera omurai"
"5114";"Pseudorca crassidens";"Pseudorca crassidens"
"5115";"Casinycteris argynnis";"Casinycteris argynnis"
"5116";"Platyrrhinus fusciventris";"Platyrrhinus fusciventris"
"5117";"Civettictis civetta";"Civettictis civetta"
"5118";"Mustela nivalis";"Mustela nivalis"
"5119";"Diceros bicornis";"Diceros bicornis"
"5120";"Kerivoula depressa";"Kerivoula depressa"
"5121";"Kerivoula dongduongana";"Kerivoula dongduongana"
"5122";"Kerivoula furva";"Kerivoula furva"
"5123";"Kerivoula crypta";"Kerivoula crypta"
"5124";"Allochrocebus solatus";"Allochrocebus solatus"
"5125";"Cercocebus torquatus";"Cercocebus torquatus"
"5126";"Felis lybica";"Felis lybica"
"5127";"Leptailurus serval";"Leptailurus serval"
"5128";"Balaenoptera musculus";"Balaenoptera musculus"
"5129";"Arabitragus jayakari";"Arabitragus jayakari"
"5130";"Stenella longirostris";"Stenella longirostris"
"5131";"Tursiops truncatus";"Tursiops truncatus"
"5132";"Ochotona curzoniae";"Ochotona curzoniae"
"5133";"Equus zebra";"Equus zebra"
"5134";"Juscelinomys candango";"Juscelinomys candango"
"5135";"Oxymycterus hucucha";"Oxymycterus hucucha"
"5136";"Callistomys pictus";"Callistomys pictus"
"5137";"Dugong dugon";"Dugong dugon"
"5138";"Physeter macrocephalus";"Physeter macrocephalus"
"5139";"Allochrocebus preussi";"Allochrocebus preussi"
"5140";"Piliocolobus badius";"Piliocolobus badius"
"5141";"Ochotona coreana";"Ochotona coreana"
"5142";"Lepus coreanus";"Lepus coreanus"
"5143";"Capra ibex";"Capra ibex"
"5144";"Tarsius spectrumgurskyae";"Tarsius spectrumgurskyae"
"5145";"Tarsius supriatnai";"Tarsius supriatnai"
"5146";"Tarsius fuscus";"Tarsius fuscus"
"5147";"Capricornis sumatraensis";"Capricornis sumatraensis"
"5148";"Nycticebus kayan";"Nycticebus kayan"
"5149";"Nycticebus bancanus";"Nycticebus bancanus"
"5150";"Nycticebus borneanus";"Nycticebus borneanus"
"5151";"Nycticebus hilleri";"Nycticebus hilleri"
"5152";"Cheirogaleus shethi";"Cheirogaleus shethi"
"5153";"Cheirogaleus andysabini";"Cheirogaleus andysabini"
"5154";"Cheirogaleus grovesi";"Cheirogaleus grovesi"
"5155";"Cheirogaleus lavasoensis";"Cheirogaleus lavasoensis"
"5156";"Microcebus tanosi";"Microcebus tanosi"
"5157";"Cheirogaleus thomasi";"Cheirogaleus thomasi"
"5158";"Microcebus ganzhorni";"Microcebus ganzhorni"
"5159";"Microcebus manitatra";"Microcebus manitatra"
"5160";"Connochaetes taurinus";"Connochaetes taurinus"
"5161";"Canis aureus";"Canis aureus"
"5162";"Canis latrans";"Canis latrans"
"5163";"Canis lupus";"Canis lupus"
"5164";"Canis rufus";"Canis rufus"
"5165";"Panthera pardus";"Panthera pardus"
"5166";"Aotus miconax";"Aotus miconax"
"5167";"Cryptotis niausa";"Cryptotis niausa"
"5168";"Erythrocebus poliophaeus";"Erythrocebus poliophaeus"
"5169";"Galagoides kumbirensis";"Galagoides kumbirensis"
"5170";"Aonyx capensis";"Aonyx capensis"
"5171";"Aonyx congicus";"Aonyx congicus"
"5172";"Enhydra lutris";"Enhydra lutris"
"5173";"Lontra canadensis";"Lontra canadensis"
"5174";"Lontra longicaudis";"Lontra longicaudis"
"5175";"Lutra lutra";"Lutra lutra"
"5176";"Hydrictis maculicollis";"Hydrictis maculicollis"
"5177";"Lutra sumatrana";"Lutra sumatrana"
"5178";"Lutrogale perspicillata";"Lutrogale perspicillata"
"5179";"Pteronura brasiliensis";"Pteronura brasiliensis"
"5180";"Aonyx cinereus";"Aonyx cinereus"
"5181";"Sylvilagus robustus";"Sylvilagus robustus"
"5182";"Sylvilagus tapetillus";"Sylvilagus tapetillus"
"5183";"Sylvilagus sanctaemartae";"Sylvilagus sanctaemartae"
"5184";"Sylvilagus andinus";"Sylvilagus andinus"
"5185";"Sylvilagus cognatus";"Sylvilagus cognatus"
"5186";"Lenothrix canus";"Lenothrix canus"
"5187";"Crocidura hutanis";"Crocidura hutanis"
"5188";"Rattus norvegicus";"Rattus norvegicus"
"5189";"Oryx gazella";"Oryx gazella"
"5190";"Pseudoryx nghetinhensis";"Pseudoryx nghetinhensis"
"5191";"Tragelaphus strepsiceros";"Tragelaphus strepsiceros"
"5192";"Rhynchocyon cirnei";"Rhynchocyon cirnei"
"5193";"Phascogale tapoatafa";"Phascogale tapoatafa"
"5194";"Sminthopsis leucopus";"Sminthopsis leucopus"
"5195";"Phascolarctos cinereus";"Phascolarctos cinereus"
"5196";"Potorous longipes";"Potorous longipes"
"5197";"Potorous tridactylus";"Potorous tridactylus"
"5198";"Petauroides volans";"Petauroides volans"
"5199";"Sturnira oporaphilum";"Sturnira oporaphilum"
"5200";"Lycaon pictus";"Lycaon pictus"
"5201";"Megaloglossus woermanni";"Megaloglossus woermanni"
"5202";"Lonchorhina orinocensis";"Lonchorhina orinocensis"
"5203";"Taphozous perforatus";"Taphozous perforatus"
"5204";"Epomops franqueti";"Epomops franqueti"
"5205";"Eptesicus innoxius";"Eptesicus innoxius"
"5206";"Atherurus macrourus";"Atherurus macrourus"
"5207";"Scutisorex somereni";"Scutisorex somereni"
"5208";"Melursus ursinus";"Melursus ursinus"
"5209";"Equus hemionus";"Equus hemionus"
"5210";"Bassariscus sumichrasti";"Bassariscus sumichrasti"
"5211";"Apomys magnus";"Apomys magnus"
"5212";"Myosorex jejei";"Myosorex jejei"
"5213";"Maxomys tajuddinii";"Maxomys tajuddinii"
"5214";"Bassaricyon neblina";"Bassaricyon neblina"
"5215";"Bassaricyon medius";"Bassaricyon medius"
"5216";"Cephalophus dorsalis";"Cephalophus dorsalis"
"5217";"Caenolestes sangay";"Caenolestes sangay"
"5218";"Margaretamys christinae";"Margaretamys christinae"
"5219";"Myonycteris leptodon";"Myonycteris leptodon"
"5220";"Nyctophilus shirleyae";"Nyctophilus shirleyae"
"5221";"Lophostoma occidentalis";"Lophostoma occidentale"
"5222";"Lutreolina massoia";"Lutreolina massoia"
"5223";"Rousettus obliviosus";"Rousettus obliviosus"
"5224";"Tupaia hypochrysa";"Tupaia hypochrysa"
"5225";"Tupaia ferruginea";"Tupaia ferruginea"
"5226";"Ursus thibetanus";"Ursus thibetanus"
"5227";"Hoolock tianxing";"Hoolock tianxing"
"5228";"Prosciurillus alstoni";"Prosciurillus alstoni"
"5229";"Piliocolobus tholloni";"Piliocolobus tholloni"
"5230";"Piliocolobus oustaleti";"Piliocolobus oustaleti"
"5231";"Piliocolobus rufomitratus";"Piliocolobus rufomitratus"
"5232";"Cercopithecus wolfi";"Cercopithecus wolfi"
"5233";"Cryptotis oreoryctes";"Cryptotis oreoryctes"
"5234";"Hipposideros khaokhouayensis";"Hipposideros khaokhouayensis"
"5235";"Piliocolobus parmentieri";"Piliocolobus parmentieri"
"5236";"Piliocolobus langi";"Piliocolobus langi"
"5237";"Miopithecus talapoin";"Miopithecus talapoin"
"5238";"Allenopithecus nigroviridis";"Allenopithecus nigroviridis"
"5239";"Lophocebus albigena";"Lophocebus albigena"
"5240";"Lophocebus aterrimus";"Lophocebus aterrimus"
"5241";"Plecturocebus hoffmannsi";"Plecturocebus hoffmannsi"
"5242";"Coendou speratus";"Coendou speratus"
"5243";"Procolobus verus";"Procolobus verus"
"5244";"Setonix brachyurus";"Setonix brachyurus"
"5245";"Protoxerus aubinnii";"Protoxerus aubinnii"
"5246";"Lophuromys chercherensis";"Lophuromys chercherensis"
"5247";"Crocidura ninoyi";"Crocidura ninoyi"
"5248";"Crocidura batakorum";"Crocidura batakorum"
"5249";"Dryadonycteris capixaba";"Dryadonycteris capixaba"
"5250";"Lonchophylla fornicata";"Lonchophylla fornicata"
"5251";"Cercopithecus cephus";"Cercopithecus cephus"
"5252";"Cercopithecus nictitans";"Cercopithecus nictitans"
"5253";"Cercopithecus hamlyni";"Cercopithecus hamlyni"
"5254";"Crocidura munissii";"Crocidura munissii"
"5255";"Uromys vika";"Uromys vika"
"5256";"Graphiurus walterverheyeni";"Graphiurus walterverheyeni"
"5257";"Halmaheramys bokimekot";"Halmaheramys bokimekot"
"5258";"Rattus detentus";"Rattus detentus"
"5259";"Crocidura lwiroensis";"Crocidura lwiroensis"
"5260";"Piliocolobus waldroni";"Piliocolobus waldronae"
"5261";"Fukomys hanangensis";"Fukomys hanangensis"
"5262";"Fukomys livingstoni";"Fukomys livingstoni"
"5263";"Cercocebus agilis";"Cercocebus agilis"
"5264";"Manis pentadactyla";"Manis pentadactyla"
"5265";"Piliocolobus kirkii";"Piliocolobus kirkii"
"5266";"Papio ursinus";"Papio ursinus"
"5267";"Colobus vellerosus";"Colobus vellerosus"
"5268";"Oryctolagus cuniculus";"Oryctolagus cuniculus"
"5269";"Muntiacus reevesi";"Muntiacus reevesi"
"5270";"Tarsius niemitzi";"Tarsius niemitzi"
"5271";"Piliocolobus tephrosceles";"Piliocolobus tephrosceles"
"5272";"Mico munduruku";"Mico munduruku"
"5273";"Plecturocebus grovesi";"Plecturocebus grovesi"
"5274";"Plecturocebus parecis";"Plecturocebus parecis"
"5275";"Eudorcas thomsonii";"Eudorcas thomsonii"
"5276";"Lynx pardinus";"Lynx pardinus"
"5277";"Trachypithecus phayrei";"Trachypithecus phayrei"
"5278";"Felis nigripes";"Felis nigripes"
"5279";"Eubalaena glacialis";"Eubalaena glacialis"
"5280";"Capra walie";"Capra walie"
"5281";"Berardius minimus";"Berardius minimus"
"5282";"Steno bredanensis";"Steno bredanensis"
"5283";"Nycticebus bengalensis";"Nycticebus bengalensis"
"5284";"Paragalago zanzibaricus";"Paragalago zanzibaricus"
"5285";"Naemorhedus baileyi";"Naemorhedus baileyi"
"5286";"Otocolobus manul";"Otocolobus manul"
"5287";"Microcebus jollyae";"Microcebus jollyae"
"5288";"Nomascus leucogenys";"Nomascus leucogenys"
"5289";"Hipposideros pomona";"Hipposideros pomona"
"5290";"Hipposideros gentilis";"Hipposideros gentilis"
"5291";"Felis silvestris";"Felis silvestris"
"5292";"Eulemur albifrons";"Eulemur albifrons"
"5293";"Avahi occidentalis";"Avahi occidentalis"
"5294";"Eulemur macaco";"Eulemur macaco"
"5295";"Eulemur sanfordi";"Eulemur sanfordi"
"5296";"Hapalemur alaotrensis";"Hapalemur alaotrensis"
"5297";"Eulemur coronatus";"Eulemur coronatus"
"5298";"Microcebus murinus";"Microcebus murinus"
"5299";"Microcebus boraha";"Microcebus boraha"
"5300";"Mirza zaza";"Mirza zaza"
"5301";"Mesoplodon hotaula";"Mesoplodon hotaula"
"5302";"Apodemus pallipes";"Apodemus pallipes"
"5303";"Delanymys brooksi";"Delanymys brooksi"
"5304";"Petaurista philippensis";"Petaurista philippensis"
"5305";"Macaca arctoides";"Macaca arctoides"
"5306";"Pipistrellus tenuis";"Pipistrellus tenuis"
"5307";"Eulemur rubriventer";"Eulemur rubriventer"
"5308";"Euoticus pallidus";"Euoticus pallidus"
"5309";"Paragalago orinus";"Paragalago orinus"
"5310";"Papio papio";"Papio papio"
"5311";"Papio kindae";"Papio kindae"
"5312";"Alouatta belzebul";"Alouatta belzebul"
"5313";"Alouatta arctoidea";"Alouatta arctoidea"
"5314";"Alouatta caraya";"Alouatta caraya"
"5315";"Alouatta discolor";"Alouatta discolor"
"5316";"Alouatta guariba";"Alouatta guariba"
"5317";"Alouatta nigerrima";"Alouatta nigerrima"
"5318";"Alouatta palliata";"Alouatta palliata"
"5319";"Alouatta ululata";"Alouatta ululata"
"5320";"Aotus azarae";"Aotus azarae"
"5321";"Aotus griseimembra";"Aotus griseimembra"
"5322";"Aotus jorgehernandezi";"Aotus jorgehernandezi"
"5323";"Aotus nigriceps";"Aotus nigriceps"
"5324";"Aotus trivirgatus";"Aotus trivirgatus"
"5325";"Aotus vociferans";"Aotus vociferans"
"5326";"Ateles belzebuth";"Ateles belzebuth"
"5327";"Ateles chamek";"Ateles chamek"
"5328";"Ateles fusciceps";"Ateles fusciceps"
"5329";"Ateles geoffroyi";"Ateles geoffroyi"
"5330";"Ateles marginatus";"Ateles marginatus"
"5331";"Ateles paniscus";"Ateles paniscus"
"5332";"Brachyteles arachnoides";"Brachyteles arachnoides"
"5333";"Brachyteles hypoxanthus";"Brachyteles hypoxanthus"
"5334";"Cacajao ayresi";"Cacajao ayresi"
"5335";"Cacajao hosomi";"Cacajao hosomi"
"5336";"Cacajao melanocephalus";"Cacajao melanocephalus"
"5337";"Callicebus personatus";"Callicebus personatus"
"5338";"Callimico goeldii";"Callimico goeldii"
"5339";"Callithrix aurita";"Callithrix aurita"
"5340";"Callithrix flaviceps";"Callithrix flaviceps"
"5341";"Callithrix geoffroyi";"Callithrix geoffroyi"
"5342";"Callithrix kuhlii";"Callithrix kuhlii"
"5343";"Cebus cuscinus";"Cebus cuscinus"
"5344";"Cebus yuracus";"Cebus yuracus"
"5345";"Cebus aequatorialis";"Cebus aequatorialis"
"5346";"Chiropotes albinasus";"Chiropotes albinasus"
"5347";"Callicebus barbarabrownae";"Callicebus barbarabrownae"
"5348";"Cebus albifrons";"Cebus albifrons"
"5349";"Chiropotes satanas";"Chiropotes satanas"
"5350";"Cebus kaapori";"Cebus kaapori"
"5351";"Callithrix jacchus";"Callithrix jacchus"
"5352";"Callithrix penicillata";"Callithrix penicillata"
"5353";"Cebus castaneus";"Cebus castaneus"
"5354";"Cebuella niveiventris";"Cebuella niveiventris"
"5355";"Chiropotes sagulatus";"Chiropotes sagulatus"
"5356";"Cebus leucocephalus";"Cebus leucocephalus"
"5357";"Cebus unicolor";"Cebus unicolor"
"5358";"Cebus capucinus";"Cebus capucinus"
"5359";"Cebus imitator";"Cebus imitator"
"5360";"Cebus olivaceus";"Cebus olivaceus"
"5361";"Scotonycteris zenkeri";"Scotonycteris zenkeri"
"5362";"Lagothrix flavicauda";"Lagothrix flavicauda"
"5363";"Lagothrix lagothricha";"Lagothrix lagothricha"
"5364";"Leontopithecus rosalia";"Leontopithecus rosalia"
"5365";"Leontopithecus chrysomelas";"Leontopithecus chrysomelas"
"5366";"Mico chrysoleucos";"Mico chrysoleucos"
"5367";"Mico argentatus";"Mico argentatus"
"5368";"Mico humeralifer";"Mico humeralifer"
"5369";"Mico acariensis";"Mico acariensis"
"5370";"Mico mauesi";"Mico mauesi"
"5371";"Mico emiliae";"Mico emiliae"
"5372";"Mico saterei";"Mico saterei"
"5373";"Mico melanurus";"Mico melanurus"
"5374";"Mico rondoni";"Mico rondoni"
"5375";"Pithecia milleri";"Pithecia milleri"
"5376";"Pithecia albicans";"Pithecia albicans"
"5377";"Pithecia pithecia";"Pithecia pithecia"
"5378";"Pithecia inusta";"Pithecia inusta"
"5379";"Pithecia cazuzai";"Pithecia cazuzai"
"5380";"Pithecia irrorata";"Pithecia irrorata"
"5381";"Plecturocebus donacophilus";"Plecturocebus donacophilus"
"5382";"Plecturocebus pallescens";"Plecturocebus pallescens"
"5383";"Plecturocebus discolor";"Plecturocebus discolor"
"5384";"Plecturocebus stephennashi";"Plecturocebus stephennashi"
"5385";"Plecturocebus moloch";"Plecturocebus moloch"
"5386";"Plecturocebus aureipalatii";"Plecturocebus aureipalatii"
"5387";"Plecturocebus caquetensis";"Plecturocebus caquetensis"
"5388";"Plecturocebus cupreus";"Plecturocebus cupreus"
"5389";"Saguinus leucopus";"Saguinus leucopus"
"5390";"Saguinus oedipus";"Saguinus oedipus"
"5391";"Saguinus bicolor";"Saguinus bicolor"
